date_time,Narrogin_maxtempC,Narrogin_mintempC,Narrogin_totalSnow_cm,Narrogin_sunHour,Narrogin_uvIndex,Narrogin_uvIndex,Narrogin_moon_illumination,Narrogin_moonrise,Narrogin_moonset,Narrogin_sunrise,Narrogin_sunset,Narrogin_DewPointC,Narrogin_FeelsLikeC,Narrogin_HeatIndexC,Narrogin_WindChillC,Narrogin_WindGustKmph,Narrogin_cloudcover,Narrogin_humidity,Narrogin_precipMM,Narrogin_pressure,Narrogin_tempC,Narrogin_visibility,Narrogin_winddirDegree,Narrogin_windspeedKmph
2019-12-04 00:00:00,37,19,0.0,14.5,7,1,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,10,29,29,28,24,84,47,0.4,1012,28,10,138,12
2019-12-04 03:00:00,37,19,0.0,14.5,7,1,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,10,20,20,20,19,53,52,0.5,1011,20,9,123,9
2019-12-04 06:00:00,37,19,0.0,14.5,7,1,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,10,22,21,22,10,13,47,0.0,1012,22,10,151,6
2019-12-04 09:00:00,37,19,0.0,14.5,7,7,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,8,28,28,29,12,23,29,0.0,1012,29,10,179,10
2019-12-04 12:00:00,37,19,0.0,14.5,7,9,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,5,33,33,35,16,3,16,0.0,1012,35,10,198,14
2019-12-04 15:00:00,37,19,0.0,14.5,7,9,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,3,35,35,37,15,4,13,0.0,1010,37,10,206,13
2019-12-04 18:00:00,37,19,0.0,14.5,7,1,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,6,36,36,35,23,3,23,0.0,1012,35,10,177,18
2019-12-04 21:00:00,37,19,0.0,14.5,7,1,48,11:44 AM,12:31 AM,04:56 AM,07:07 PM,12,36,36,33,37,3,47,0.0,1015,33,10,139,25
2019-12-05 00:00:00,36,15,0.0,14.5,8,1,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,11,28,28,26,27,4,62,0.0,1017,26,10,116,19
2019-12-05 03:00:00,36,15,0.0,14.5,8,1,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,12,16,16,16,28,5,79,0.0,1016,16,10,121,16
2019-12-05 06:00:00,36,15,0.0,14.5,8,1,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,11,18,18,18,27,6,68,0.0,1016,18,10,120,15
2019-12-05 09:00:00,36,15,0.0,14.5,8,7,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,9,27,27,27,18,5,35,0.0,1016,27,10,101,16
2019-12-05 12:00:00,36,15,0.0,14.5,8,8,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,5,32,32,34,17,3,16,0.0,1014,34,10,108,14
2019-12-05 15:00:00,36,15,0.0,14.5,8,9,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,3,34,34,36,15,3,13,0.0,1012,36,10,139,13
2019-12-05 18:00:00,36,15,0.0,14.5,8,1,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,5,35,35,35,26,3,19,0.0,1011,35,10,139,19
2019-12-05 21:00:00,36,15,0.0,14.5,8,1,55,12:38 PM,01:02 AM,04:56 AM,07:08 PM,9,34,34,31,42,2,37,0.0,1013,31,10,107,27
2019-12-06 00:00:00,39,18,0.0,14.5,8,1,62,01:32 PM,01:32 AM,04:56 AM,07:09 PM,9,28,28,26,33,1,47,0.0,1014,26,10,88,21
2019-12-06 03:00:00,39,18,0.0,14.5,8,1,62,01:32 PM,01:32 AM,04:56 AM,07:09 PM,8,19,19,19,26,3,51,0.0,1012,19,10,79,16
2019-12-06 06:00:00,39,18,0.0,14.5,8,1,62,01:32 PM,01:32 AM,04:56 AM,07:09 PM,8,21,21,21,30,5,46,0.0,1011,21,10,72,20
