date_time,Newman_maxtempC,Newman_mintempC,Newman_totalSnow_cm,Newman_sunHour,Newman_uvIndex,Newman_uvIndex,Newman_moon_illumination,Newman_moonrise,Newman_moonset,Newman_sunrise,Newman_sunset,Newman_DewPointC,Newman_FeelsLikeC,Newman_HeatIndexC,Newman_WindChillC,Newman_WindGustKmph,Newman_cloudcover,Newman_humidity,Newman_precipMM,Newman_pressure,Newman_tempC,Newman_visibility,Newman_winddirDegree,Newman_windspeedKmph
2019-12-04 00:00:00,39,22,0.0,13.3,9,1,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-1,30,30,29,31,0,17,0.0,1010,29,10,71,15
2019-12-04 03:00:00,39,22,0.0,13.3,9,1,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-1,23,23,24,24,0,20,0.0,1010,24,10,44,12
2019-12-04 06:00:00,39,22,0.0,13.3,9,1,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-0,25,25,26,24,0,19,0.0,1011,26,10,42,15
2019-12-04 09:00:00,39,22,0.0,13.3,9,8,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-0,33,33,35,26,0,11,0.0,1011,35,10,55,23
2019-12-04 12:00:00,39,22,0.0,13.3,9,9,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-2,38,38,38,13,8,8,0.0,1010,38,10,44,12
2019-12-04 15:00:00,39,22,0.0,13.3,9,9,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-3,39,39,39,9,22,7,0.0,1008,39,10,67,8
2019-12-04 18:00:00,39,22,0.0,13.3,9,1,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-3,39,39,38,10,19,9,0.0,1008,38,10,86,8
2019-12-04 21:00:00,39,22,0.0,13.3,9,1,48,11:44 AM,12:08 AM,05:06 AM,06:36 PM,-2,38,38,36,14,35,13,0.0,1010,36,10,92,7
2019-12-05 00:00:00,41,26,0.0,13.3,9,1,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,-2,32,32,31,14,37,15,0.0,1010,31,10,159,6
2019-12-05 03:00:00,41,26,0.0,13.3,9,1,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,-0,24,24,26,19,13,18,0.0,1009,26,10,272,9
2019-12-05 06:00:00,41,26,0.0,13.3,9,1,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,1,27,27,29,29,2,17,0.0,1010,29,10,254,15
2019-12-05 09:00:00,41,26,0.0,13.3,9,9,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,0,35,35,36,11,5,11,0.0,1010,36,10,284,10
2019-12-05 12:00:00,41,26,0.0,13.3,9,9,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,-1,40,40,40,12,24,8,0.0,1008,40,10,346,10
2019-12-05 15:00:00,41,26,0.0,13.3,9,9,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,-0,40,40,40,22,37,8,0.0,1006,40,10,321,19
2019-12-05 18:00:00,41,26,0.0,13.3,9,1,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,2,38,38,37,37,30,12,0.0,1008,37,10,275,27
2019-12-05 21:00:00,41,26,0.0,13.3,9,1,55,12:34 PM,12:43 AM,05:07 AM,06:36 PM,4,36,36,34,24,58,18,0.1,1010,34,10,204,13
2019-12-06 00:00:00,41,26,0.0,13.3,9,1,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,6,28,28,29,16,70,23,0.2,1011,29,9,170,8
2019-12-06 03:00:00,41,26,0.0,13.3,9,1,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,7,26,26,27,25,45,28,0.0,1009,27,10,316,12
2019-12-06 06:00:00,41,26,0.0,13.3,9,1,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,6,28,28,29,14,37,24,0.0,1010,29,10,295,9
2019-12-06 09:00:00,41,26,0.0,13.3,9,9,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,3,36,36,37,17,14,13,0.0,1010,37,10,293,15
2019-12-06 12:00:00,41,26,0.0,13.3,9,10,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,1,40,40,40,23,4,9,0.0,1008,40,10,351,20
2019-12-06 15:00:00,41,26,0.0,13.3,9,10,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,0,41,41,41,28,12,8,0.0,1006,41,10,336,24
2019-12-06 18:00:00,41,26,0.0,13.3,9,1,62,01:24 PM,01:16 AM,05:07 AM,06:37 PM,2,40,40,39,32,17,11,0.0,1007,39,10,303,24
