date_time,Ngatea_maxtempC,Ngatea_mintempC,Ngatea_totalSnow_cm,Ngatea_sunHour,Ngatea_uvIndex,Ngatea_uvIndex,Ngatea_moon_illumination,Ngatea_moonrise,Ngatea_moonset,Ngatea_sunrise,Ngatea_sunset,Ngatea_DewPointC,Ngatea_FeelsLikeC,Ngatea_HeatIndexC,Ngatea_WindChillC,Ngatea_WindGustKmph,Ngatea_cloudcover,Ngatea_humidity,Ngatea_precipMM,Ngatea_pressure,Ngatea_tempC,Ngatea_visibility,Ngatea_winddirDegree,Ngatea_windspeedKmph
2019-12-04 00:00:00,21,15,0.0,14.5,5,1,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,14,16,16,16,17,0,89,0.0,1012,16,10,288,10
2019-12-04 03:00:00,21,15,0.0,14.5,5,1,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,13,15,15,15,13,2,91,0.0,1012,15,10,287,7
2019-12-04 06:00:00,21,15,0.0,14.5,5,1,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,13,16,15,16,6,5,86,0.0,1012,15,10,302,3
2019-12-04 09:00:00,21,15,0.0,14.5,5,5,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,11,20,20,20,9,29,58,0.0,1013,20,10,311,7
2019-12-04 12:00:00,21,15,0.0,14.5,5,6,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,13,21,21,21,14,15,59,0.0,1011,21,10,330,11
2019-12-04 15:00:00,21,15,0.0,14.5,5,6,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,11,21,24,21,19,13,53,0.0,1010,21,10,326,15
2019-12-04 18:00:00,21,15,0.0,14.5,5,1,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,12,20,20,20,18,14,62,0.0,1010,20,10,340,12
2019-12-04 21:00:00,21,15,0.0,14.5,5,1,48,11:35 AM,12:39 AM,04:51 AM,07:25 PM,15,16,16,16,11,39,89,0.0,1012,16,10,282,6
2019-12-05 00:00:00,22,14,0.0,14.5,5,1,55,12:31 PM,01:09 AM,04:51 AM,07:26 PM,13,16,16,16,10,0,81,0.0,1012,16,10,249,5
2019-12-05 03:00:00,22,14,0.0,14.5,5,1,55,12:31 PM,01:09 AM,04:51 AM,07:26 PM,11,14,14,14,7,0,85,0.0,1011,14,10,240,3
