date_time,Nyngan_maxtempC,Nyngan_mintempC,Nyngan_totalSnow_cm,Nyngan_sunHour,Nyngan_uvIndex,Nyngan_uvIndex,Nyngan_moon_illumination,Nyngan_moonrise,Nyngan_moonset,Nyngan_sunrise,Nyngan_sunset,Nyngan_DewPointC,Nyngan_FeelsLikeC,Nyngan_HeatIndexC,Nyngan_WindChillC,Nyngan_WindGustKmph,Nyngan_cloudcover,Nyngan_humidity,Nyngan_precipMM,Nyngan_pressure,Nyngan_tempC,Nyngan_visibility,Nyngan_winddirDegree,Nyngan_windspeedKmph
2019-12-04 00:00:00,29,16,0.0,14.5,7,1,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,3,19,19,19,31,0,36,0.0,1011,19,10,221,15
2019-12-04 03:00:00,29,16,0.0,14.5,7,1,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,4,16,16,16,26,0,43,0.0,1012,16,10,214,13
2019-12-04 06:00:00,29,16,0.0,14.5,7,1,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,5,18,18,18,22,0,42,0.0,1013,18,10,210,15
2019-12-04 09:00:00,29,16,0.0,14.5,7,6,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,2,22,22,23,23,0,27,0.0,1014,23,10,223,20
2019-12-04 12:00:00,29,16,0.0,14.5,7,7,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,-2,26,26,27,32,0,15,0.0,1013,27,10,234,28
2019-12-04 15:00:00,29,16,0.0,14.5,7,7,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,-2,27,27,29,35,0,13,0.0,1011,29,10,233,31
2019-12-04 18:00:00,29,16,0.0,14.5,7,1,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,1,25,25,27,35,0,19,0.0,1011,27,10,224,23
2019-12-04 21:00:00,29,16,0.0,14.5,7,1,48,11:41 AM,12:26 AM,04:59 AM,07:04 PM,1,23,23,23,32,0,25,0.0,1013,23,10,213,16
2019-12-05 00:00:00,35,16,0.0,14.5,8,1,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,1,19,20,19,21,0,30,0.0,1013,19,10,208,10
2019-12-05 03:00:00,35,16,0.0,14.5,8,1,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,1,17,17,17,14,0,35,0.0,1012,17,10,234,6
2019-12-05 06:00:00,35,16,0.0,14.5,8,1,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,1,21,21,21,10,0,28,0.0,1013,21,10,273,6
2019-12-05 09:00:00,35,16,0.0,14.5,8,7,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,3,25,25,27,13,0,21,0.0,1013,27,10,282,10
2019-12-05 12:00:00,35,16,0.0,14.5,8,8,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,1,30,30,32,25,2,15,0.0,1011,32,10,264,22
2019-12-05 15:00:00,35,16,0.0,14.5,8,8,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,-0,33,33,35,34,2,11,0.0,1008,35,10,260,30
2019-12-05 18:00:00,35,16,0.0,14.5,8,1,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,-1,30,30,32,35,1,13,0.0,1008,32,10,259,22
2019-12-05 21:00:00,35,16,0.0,14.5,8,1,55,12:34 PM,12:58 AM,04:59 AM,07:05 PM,-1,25,25,27,33,0,17,0.0,1009,27,10,227,16
2019-12-06 00:00:00,34,19,0.0,14.5,7,1,62,01:28 PM,01:28 AM,04:59 AM,07:05 PM,-1,23,23,23,23,1,21,0.0,1009,23,10,195,11
2019-12-06 03:00:00,34,19,0.0,14.5,7,1,62,01:28 PM,01:28 AM,04:59 AM,07:05 PM,-0,20,20,20,14,3,26,0.0,1009,20,10,209,6
2019-12-06 06:00:00,34,19,0.0,14.5,7,1,62,01:28 PM,01:28 AM,04:59 AM,07:05 PM,2,22,22,22,16,2,27,0.0,1010,22,10,211,12
2019-12-06 09:00:00,34,19,0.0,14.5,7,7,62,01:28 PM,01:28 AM,04:59 AM,07:05 PM,5,26,26,27,15,3,24,0.0,1010,27,10,218,13
