date_time,Oakdale_maxtempC,Oakdale_mintempC,Oakdale_totalSnow_cm,Oakdale_sunHour,Oakdale_uvIndex,Oakdale_uvIndex,Oakdale_moon_illumination,Oakdale_moonrise,Oakdale_moonset,Oakdale_sunrise,Oakdale_sunset,Oakdale_DewPointC,Oakdale_FeelsLikeC,Oakdale_HeatIndexC,Oakdale_WindChillC,Oakdale_WindGustKmph,Oakdale_cloudcover,Oakdale_humidity,Oakdale_precipMM,Oakdale_pressure,Oakdale_tempC,Oakdale_visibility,Oakdale_winddirDegree,Oakdale_windspeedKmph
2019-12-04 00:00:00,0,-5,0.0,5.1,2,1,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-3,-6,-2,-6,28,23,90,0.0,1005,-2,10,281,15
2019-12-04 03:00:00,0,-5,0.0,5.1,2,1,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-3,-7,-2,-7,28,24,90,0.0,1006,-2,10,292,15
2019-12-04 06:00:00,0,-5,0.0,5.1,2,1,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-4,-8,-3,-8,24,18,91,0.0,1007,-3,10,285,12
2019-12-04 09:00:00,0,-5,0.0,5.1,2,2,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-4,-8,-3,-8,22,24,92,0.0,1008,-3,10,287,12
2019-12-04 12:00:00,0,-5,0.0,5.1,2,2,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-2,-5,-1,-5,20,75,94,0.0,1009,-1,10,303,14
2019-12-04 15:00:00,0,-5,0.0,5.1,2,1,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-1,-4,0,-4,18,99,93,0.0,1010,0,10,299,14
2019-12-04 18:00:00,0,-5,0.0,5.1,2,1,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-2,-5,-1,-5,16,84,94,0.0,1012,-1,5,293,10
2019-12-04 21:00:00,0,-5,0.0,5.1,2,1,48,02:20 PM,12:29 AM,08:33 AM,05:31 PM,-5,-7,-4,-7,13,46,95,0.0,1013,-4,2,302,6
2019-12-05 00:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-6,-7,-5,-7,9,37,95,0.0,1014,-5,2,220,4
2019-12-05 03:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-7,-9,-6,-9,12,48,95,0.0,1014,-6,2,180,5
2019-12-05 06:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-7,-10,-7,-10,15,71,94,0.0,1014,-7,7,166,8
2019-12-05 09:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-6,-8,-5,-8,14,77,94,0.0,1014,-5,5,165,8
2019-12-05 12:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-2,-4,-2,-4,10,92,97,0.0,1013,-2,1,193,7
2019-12-05 15:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-1,-3,-0,-3,12,100,98,0.0,1013,-0,1,278,9
2019-12-05 18:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-2,-6,-2,-6,19,100,95,0.0,1016,-2,7,333,14
2019-12-05 21:00:00,0,-7,0.0,3.4,1,1,55,02:42 PM,01:31 AM,08:34 AM,05:31 PM,-3,-5,-2,-5,27,97,92,0.0,1019,-4,10,337,17
2019-12-06 00:00:00,-7,-15,0.0,8.7,1,1,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-4,-7,-3,-7,26,70,90,0.0,1022,-4,10,326,15
2019-12-06 03:00:00,-7,-15,0.0,8.7,1,1,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-9,-13,-8,-13,23,38,92,0.0,1026,-8,10,325,13
2019-12-06 06:00:00,-7,-15,0.0,8.7,1,1,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-13,-17,-12,-17,19,26,94,0.0,1029,-12,5,326,10
2019-12-06 09:00:00,-7,-15,0.0,8.7,1,1,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-13,-17,-13,-17,13,25,94,0.0,1031,-13,7,321,8
2019-12-06 12:00:00,-7,-15,0.0,8.7,1,2,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-11,-13,-9,-13,8,16,89,0.0,1032,-9,10,309,6
2019-12-06 15:00:00,-7,-15,0.0,8.7,1,2,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-9,-11,-8,-11,9,30,90,0.0,1031,-8,10,254,7
2019-12-06 18:00:00,-7,-15,0.0,8.7,1,2,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-11,-14,-10,-14,12,73,93,0.0,1031,-10,10,199,7
2019-12-06 21:00:00,-7,-15,0.0,8.7,1,1,62,03:04 PM,02:31 AM,08:35 AM,05:31 PM,-11,-15,-11,-15,16,97,94,0.0,1029,-14,5,179,8
2019-12-07 00:00:00,-1,-10,0.0,8.7,1,1,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-10,-14,-10,-14,14,68,93,0.0,1027,-11,7,171,8
2019-12-07 03:00:00,-1,-10,0.0,8.7,1,1,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-11,-14,-10,-14,16,40,92,0.0,1026,-10,10,175,8
2019-12-07 06:00:00,-1,-10,0.0,8.7,1,1,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-10,-13,-9,-13,15,44,91,0.0,1024,-9,10,175,7
2019-12-07 09:00:00,-1,-10,0.0,8.7,1,2,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-9,-11,-8,-11,14,39,92,0.0,1022,-8,10,169,8
2019-12-07 12:00:00,-1,-10,0.0,8.7,1,2,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-5,-8,-4,-8,16,37,92,0.0,1020,-4,10,171,12
2019-12-07 15:00:00,-1,-10,0.0,8.7,1,2,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-2,-6,-1,-6,21,45,91,0.0,1016,-1,10,170,15
2019-12-07 18:00:00,-1,-10,0.0,8.7,1,2,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-2,-4,-1,-4,30,49,88,0.0,1013,-2,10,171,18
2019-12-07 21:00:00,-1,-10,0.0,8.7,1,1,70,03:26 PM,03:33 AM,08:36 AM,05:31 PM,-2,-5,-3,-5,37,27,82,0.0,1010,-5,10,185,20
2019-12-08 00:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-1,-4,-0,-4,39,61,83,0.0,1007,-1,10,203,21
2019-12-08 03:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,0,-3,2,-3,30,73,89,0.0,1007,2,10,223,17
2019-12-08 06:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-1,-4,-0,-4,22,45,93,0.0,1008,-0,10,254,12
2019-12-08 09:00:00,0,-3,0.0,5.1,2,2,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-3,-7,-3,-7,18,58,94,0.0,1009,-3,5,288,11
2019-12-08 12:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-2,-5,-1,-5,12,90,98,0.0,1010,-1,1,304,9
2019-12-08 15:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-0,-2,0,-2,9,100,99,0.0,1010,0,0,328,7
2019-12-08 18:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-1,-3,-1,-3,10,93,97,0.1,1010,-1,7,125,7
2019-12-08 21:00:00,0,-3,0.0,5.1,2,1,77,03:49 PM,04:35 AM,08:37 AM,05:31 PM,-2,-2,-1,-2,6,96,98,0.0,1009,-1,3,77,4
2019-12-09 00:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-1,-2,-1,-2,5,100,98,0.0,1008,-1,0,105,3
2019-12-09 03:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-1,-3,-1,-3,9,100,98,0.0,1006,-1,0,65,6
2019-12-09 06:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-3,-7,-3,-7,17,100,97,0.0,1006,-3,7,248,12
2019-12-09 09:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-5,-11,-5,-11,27,100,96,2.2,1006,-5,5,340,19
2019-12-09 12:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-9,-15,-8,-15,28,100,93,1.1,1008,-8,7,330,22
2019-12-09 15:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-11,-18,-10,-18,27,100,92,0.1,1010,-10,7,320,22
2019-12-09 18:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-13,-20,-12,-20,27,100,92,0.1,1013,-12,8,308,19
2019-12-09 21:00:00,-3,-17,1.0,3.3,1,1,84,04:15 PM,05:40 AM,08:38 AM,05:31 PM,-16,-24,-15,-24,24,100,94,0.1,1016,-15,7,291,17
2019-12-10 00:00:00,-18,-24,0.0,3.3,1,1,92,04:46 PM,06:46 AM,08:39 AM,05:31 PM,-21,-28,-20,-28,22,44,93,0.0,1019,-20,8,292,13
