date_time,Oekero_maxtempC,Oekero_mintempC,Oekero_totalSnow_cm,Oekero_sunHour,Oekero_uvIndex,Oekero_uvIndex,Oekero_moon_illumination,Oekero_moonrise,Oekero_moonset,Oekero_sunrise,Oekero_sunset,Oekero_DewPointC,Oekero_FeelsLikeC,Oekero_HeatIndexC,Oekero_WindChillC,Oekero_WindGustKmph,Oekero_cloudcover,Oekero_humidity,Oekero_precipMM,Oekero_pressure,Oekero_tempC,Oekero_visibility,Oekero_winddirDegree,Oekero_windspeedKmph
2019-12-04 00:00:00,32,23,0.0,11.6,8,1,48,11:39 AM,No moonset,05:13 AM,05:54 PM,24,31,31,27,22,52,83,0.1,1009,27,10,114,14
2019-12-04 03:00:00,32,23,0.0,11.6,8,1,48,11:39 AM,No moonset,05:13 AM,05:54 PM,24,30,30,27,18,0,84,0.0,1008,27,10,96,12
2019-12-04 06:00:00,32,23,0.0,11.6,8,7,48,11:39 AM,No moonset,05:13 AM,05:54 PM,23,31,31,28,15,0,76,0.0,1009,28,10,75,10
2019-12-04 09:00:00,32,23,0.0,11.6,8,8,48,11:39 AM,No moonset,05:13 AM,05:54 PM,22,35,35,31,11,3,59,0.0,1010,31,10,131,9
2019-12-04 12:00:00,32,23,0.0,11.6,8,8,48,11:39 AM,No moonset,05:13 AM,05:54 PM,22,36,36,31,10,14,59,0.0,1009,31,10,297,9
2019-12-04 15:00:00,32,23,0.0,11.6,8,7,48,11:39 AM,No moonset,05:13 AM,05:54 PM,23,34,34,30,6,44,64,0.1,1008,30,10,216,5
2019-12-04 18:00:00,32,23,0.0,11.6,8,1,48,11:39 AM,No moonset,05:13 AM,05:54 PM,23,32,32,29,12,58,72,0.1,1009,29,9,135,8
2019-12-04 21:00:00,32,23,0.0,11.6,8,1,48,11:39 AM,No moonset,05:13 AM,05:54 PM,23,29,29,26,15,4,79,0.0,1011,26,10,93,10
2019-12-05 00:00:00,32,26,0.0,10.3,8,1,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,24,27,27,24,10,3,81,0.0,1011,24,10,96,6
2019-12-05 03:00:00,32,26,0.0,10.3,8,1,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,23,30,30,27,10,5,82,0.0,1010,27,10,57,6
2019-12-05 06:00:00,32,26,0.0,10.3,8,7,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,23,31,31,28,10,3,75,0.0,1010,28,10,156,8
2019-12-05 09:00:00,32,26,0.0,10.3,8,8,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,22,34,34,30,11,6,62,0.0,1011,30,10,331,10
2019-12-05 12:00:00,32,26,0.0,10.3,8,7,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,22,35,35,31,10,32,59,0.0,1010,31,10,274,9
2019-12-05 15:00:00,32,26,0.0,10.3,8,7,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,22,34,34,30,10,72,64,0.3,1009,30,10,212,8
2019-12-05 18:00:00,32,26,0.0,10.3,8,1,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,24,33,33,29,16,54,74,0.4,1009,29,9,152,11
2019-12-05 21:00:00,32,26,0.0,10.3,8,1,55,12:24 PM,12:15 AM,05:14 AM,05:55 PM,24,32,32,27,17,8,83,0.0,1011,27,10,119,10
2019-12-06 00:00:00,32,27,0.0,11.6,8,1,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,24,31,31,27,13,7,84,0.0,1010,27,10,109,8
2019-12-06 03:00:00,32,27,0.0,11.6,8,1,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,24,31,31,27,8,5,83,0.0,1009,27,10,81,5
2019-12-06 06:00:00,32,27,0.0,11.6,8,7,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,23,33,33,29,5,2,74,0.0,1010,29,10,146,4
2019-12-06 09:00:00,32,27,0.0,11.6,8,8,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,23,37,37,32,6,2,61,0.0,1010,32,10,321,5
2019-12-06 12:00:00,32,27,0.0,11.6,8,8,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,23,37,37,32,9,8,58,0.0,1009,32,10,257,8
2019-12-06 15:00:00,32,27,0.0,11.6,8,7,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,23,35,35,31,15,36,63,0.1,1009,31,10,177,12
2019-12-06 18:00:00,32,27,0.0,11.6,8,1,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,24,34,34,29,20,84,73,0.3,1009,29,10,148,14
2019-12-06 21:00:00,32,27,0.0,11.6,8,1,62,01:09 PM,12:53 AM,05:14 AM,05:55 PM,24,32,32,28,15,53,80,0.2,1010,28,10,133,9
2019-12-07 00:00:00,32,24,0.0,11.6,8,1,70,01:54 PM,01:31 AM,05:14 AM,05:56 PM,24,31,31,27,12,2,81,0.0,1009,27,10,98,7
2019-12-07 03:00:00,32,24,0.0,11.6,8,1,70,01:54 PM,01:31 AM,05:14 AM,05:56 PM,23,30,30,27,10,3,83,0.0,1009,27,10,91,6
2019-12-07 06:00:00,32,24,0.0,11.6,8,7,70,01:54 PM,01:31 AM,05:14 AM,05:56 PM,23,32,32,28,6,2,75,0.0,1010,28,10,200,5
2019-12-07 09:00:00,32,24,0.0,11.6,8,8,70,01:54 PM,01:31 AM,05:14 AM,05:56 PM,22,35,35,31,8,3,60,0.0,1010,31,10,261,6
2019-12-07 12:00:00,32,24,0.0,11.6,8,8,70,01:54 PM,01:31 AM,05:14 AM,05:56 PM,22,35,35,32,14,2,56,0.0,1009,32,10,229,12
