date_time,Oemau_maxtempC,Oemau_mintempC,Oemau_totalSnow_cm,Oemau_sunHour,Oemau_uvIndex,Oemau_uvIndex,Oemau_moon_illumination,Oemau_moonrise,Oemau_moonset,Oemau_sunrise,Oemau_sunset,Oemau_DewPointC,Oemau_FeelsLikeC,Oemau_HeatIndexC,Oemau_WindChillC,Oemau_WindGustKmph,Oemau_cloudcover,Oemau_humidity,Oemau_precipMM,Oemau_pressure,Oemau_tempC,Oemau_visibility,Oemau_winddirDegree,Oemau_windspeedKmph
2019-12-04 00:00:00,33,28,0.0,12.8,8,1,48,11:43 AM,No moonset,05:17 AM,06:00 PM,24,32,32,28,18,13,77,0.0,1009,28,10,112,11
2019-12-04 03:00:00,33,28,0.0,12.8,8,1,48,11:43 AM,No moonset,05:17 AM,06:00 PM,24,32,32,28,16,36,78,0.1,1008,28,10,98,10
2019-12-04 06:00:00,33,28,0.0,12.8,8,7,48,11:43 AM,No moonset,05:17 AM,06:00 PM,24,33,33,29,17,61,74,0.1,1009,29,10,89,12
2019-12-04 09:00:00,33,28,0.0,12.8,8,8,48,11:43 AM,No moonset,05:17 AM,06:00 PM,23,37,37,32,14,10,62,0.0,1010,32,10,65,12
2019-12-04 12:00:00,33,28,0.0,12.8,8,8,48,11:43 AM,No moonset,05:17 AM,06:00 PM,23,38,38,33,9,13,57,0.0,1009,33,10,55,8
2019-12-04 15:00:00,33,28,0.0,12.8,8,8,48,11:43 AM,No moonset,05:17 AM,06:00 PM,23,36,36,32,9,5,61,0.0,1008,32,10,60,8
2019-12-04 18:00:00,33,28,0.0,12.8,8,1,48,11:43 AM,No moonset,05:17 AM,06:00 PM,23,34,34,30,14,14,69,0.0,1009,30,10,74,10
2019-12-04 21:00:00,33,28,0.0,12.8,8,1,48,11:43 AM,No moonset,05:17 AM,06:00 PM,24,32,32,28,18,27,76,0.0,1011,28,10,85,12
2019-12-05 00:00:00,34,27,0.0,12.8,8,1,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,23,31,31,28,17,15,78,0.0,1010,28,10,86,10
2019-12-05 03:00:00,34,27,0.0,12.8,8,1,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,24,31,31,27,17,6,80,0.0,1010,27,10,81,10
2019-12-05 06:00:00,34,27,0.0,12.8,8,7,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,24,32,32,28,14,6,76,0.0,1010,28,10,51,9
2019-12-05 09:00:00,34,27,0.0,12.8,8,8,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,23,37,37,32,8,10,60,0.0,1011,32,10,123,7
2019-12-05 12:00:00,34,27,0.0,12.8,8,8,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,23,39,39,33,7,13,56,0.0,1010,33,10,303,6
2019-12-05 15:00:00,34,27,0.0,12.8,8,7,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,24,37,37,32,7,34,62,0.2,1009,32,10,182,6
2019-12-05 18:00:00,34,27,0.0,12.8,8,1,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,24,35,35,30,13,57,73,0.3,1009,30,9,126,9
2019-12-05 21:00:00,34,27,0.0,12.8,8,1,55,12:28 PM,12:20 AM,05:17 AM,06:01 PM,24,33,33,28,15,9,78,0.0,1010,28,10,109,9
2019-12-06 00:00:00,34,27,0.0,12.8,8,1,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,24,32,32,28,13,7,80,0.0,1010,28,10,104,8
2019-12-06 03:00:00,34,27,0.0,12.8,8,1,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,24,31,31,27,10,5,80,0.0,1009,27,10,109,6
2019-12-06 06:00:00,34,27,0.0,12.8,8,7,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,23,32,32,29,6,2,73,0.0,1010,29,10,93,4
2019-12-06 09:00:00,34,27,0.0,12.8,8,8,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,23,37,37,32,5,2,57,0.0,1010,32,10,47,5
2019-12-06 12:00:00,34,27,0.0,12.8,8,8,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,23,39,39,34,4,3,55,0.0,1009,34,10,83,4
2019-12-06 15:00:00,34,27,0.0,12.8,8,8,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,23,37,37,32,10,3,59,0.0,1009,32,10,174,8
2019-12-06 18:00:00,34,27,0.0,12.8,8,1,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,23,35,35,30,14,2,67,0.0,1009,30,10,141,11
2019-12-06 21:00:00,34,27,0.0,12.8,8,1,62,01:14 PM,12:58 AM,05:17 AM,06:01 PM,23,32,32,28,12,3,73,0.0,1010,28,10,123,7
