date_time,Opunake_maxtempC,Opunake_mintempC,Opunake_totalSnow_cm,Opunake_sunHour,Opunake_uvIndex,Opunake_uvIndex,Opunake_moon_illumination,Opunake_moonrise,Opunake_moonset,Opunake_sunrise,Opunake_sunset,Opunake_DewPointC,Opunake_FeelsLikeC,Opunake_HeatIndexC,Opunake_WindChillC,Opunake_WindGustKmph,Opunake_cloudcover,Opunake_humidity,Opunake_precipMM,Opunake_pressure,Opunake_tempC,Opunake_visibility,Opunake_winddirDegree,Opunake_windspeedKmph
2019-12-04 00:00:00,17,14,0.0,14.5,5,1,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,13,17,17,17,49,0,81,0.0,1008,17,10,308,35
2019-12-04 03:00:00,17,14,0.0,14.5,5,1,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,13,17,17,17,49,30,78,0.0,1008,17,10,315,34
2019-12-04 06:00:00,17,14,0.0,14.5,5,1,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,13,17,17,17,49,4,79,0.0,1008,17,10,314,35
2019-12-04 09:00:00,17,14,0.0,14.5,5,5,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,13,17,17,17,46,6,82,0.0,1009,17,10,328,32
2019-12-04 12:00:00,17,14,0.0,14.5,5,5,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,14,17,17,17,55,3,83,0.0,1009,17,10,336,37
2019-12-04 15:00:00,17,14,0.0,14.5,5,5,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,13,16,16,16,58,22,82,0.0,1008,16,10,328,37
2019-12-04 18:00:00,17,14,0.0,14.5,5,1,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,14,16,16,16,57,28,85,0.0,1007,16,10,332,36
2019-12-04 21:00:00,17,14,0.0,14.5,5,1,48,11:39 AM,12:50 AM,04:51 AM,07:38 PM,14,14,16,14,60,74,86,0.1,1009,14,10,327,37
2019-12-05 00:00:00,17,16,0.0,13.5,5,1,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,15,16,16,16,50,19,89,0.0,1008,16,10,313,32
2019-12-05 03:00:00,17,16,0.0,13.5,5,1,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,15,16,16,16,46,21,91,0.0,1007,16,10,323,30
2019-12-05 06:00:00,17,16,0.0,13.5,5,1,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,15,16,16,16,53,29,91,0.0,1007,16,10,326,35
2019-12-05 09:00:00,17,16,0.0,13.5,5,5,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,15,17,17,17,51,28,90,0.0,1009,17,10,325,34
2019-12-05 12:00:00,17,16,0.0,13.5,5,4,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,15,17,17,17,56,70,89,0.5,1009,17,10,320,35
2019-12-05 15:00:00,17,16,0.0,13.5,5,5,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,13,16,16,16,40,2,83,0.0,1010,16,10,300,26
2019-12-05 18:00:00,17,16,0.0,13.5,5,1,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,13,16,16,16,39,3,82,0.0,1010,16,10,295,26
2019-12-05 21:00:00,17,16,0.0,13.5,5,1,55,12:36 PM,01:18 AM,04:51 AM,07:39 PM,13,16,16,16,32,15,84,0.0,1012,16,10,298,21
2019-12-06 00:00:00,17,12,0.0,11.4,5,1,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,13,16,16,16,33,12,84,0.0,1011,16,10,306,23
2019-12-06 03:00:00,17,12,0.0,11.4,5,1,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,13,16,16,16,37,26,85,0.0,1012,16,10,319,24
2019-12-06 06:00:00,17,12,0.0,11.4,5,1,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,13,16,16,16,39,78,83,0.1,1012,16,10,323,26
2019-12-06 09:00:00,17,12,0.0,11.4,5,4,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,14,16,16,16,39,75,84,0.1,1014,16,10,334,26
2019-12-06 12:00:00,17,12,0.0,11.4,5,4,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,13,16,16,16,48,84,82,0.1,1013,16,10,341,31
2019-12-06 15:00:00,17,12,0.0,11.4,5,5,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,14,17,17,17,45,7,84,0.0,1013,17,10,341,30
2019-12-06 18:00:00,17,12,0.0,11.4,5,1,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,15,14,18,14,43,18,89,0.0,1013,14,10,353,28
2019-12-06 21:00:00,17,12,0.0,11.4,5,1,62,01:34 PM,01:44 AM,04:51 AM,07:40 PM,15,12,14,12,48,14,90,0.0,1015,12,10,357,30
2019-12-07 00:00:00,18,17,0.0,10.4,5,1,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,16,17,17,17,52,34,92,0.0,1014,17,10,356,33
2019-12-07 03:00:00,18,17,0.0,10.4,5,1,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,15,17,17,17,57,17,90,0.0,1014,17,10,4,36
2019-12-07 06:00:00,18,17,0.0,10.4,5,1,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,16,17,17,17,66,29,90,0.0,1013,17,10,8,42
2019-12-07 09:00:00,18,17,0.0,10.4,5,4,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,16,17,17,17,72,99,93,0.2,1014,17,10,5,46
2019-12-07 12:00:00,18,17,0.0,10.4,5,4,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,17,18,18,18,67,85,94,0.4,1014,18,10,350,42
2019-12-07 15:00:00,18,17,0.0,10.4,5,4,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,17,18,18,18,67,82,95,0.1,1014,18,10,348,40
2019-12-07 18:00:00,18,17,0.0,10.4,5,1,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,17,17,17,17,57,100,96,0.2,1013,17,10,344,34
2019-12-07 21:00:00,18,17,0.0,10.4,5,1,70,02:31 PM,02:09 AM,04:51 AM,07:41 PM,17,17,17,17,56,77,96,0.3,1016,17,10,351,33
2019-12-08 00:00:00,19,12,0.0,9.3,4,1,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,17,17,17,17,54,82,96,1.2,1014,17,10,1,33
2019-12-08 03:00:00,19,12,0.0,9.3,4,1,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,16,17,17,17,68,98,95,4.4,1013,17,7,347,38
2019-12-08 06:00:00,19,12,0.0,9.3,4,1,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,16,18,18,18,75,88,87,7.4,1012,18,7,327,37
2019-12-08 09:00:00,19,12,0.0,9.3,4,4,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,15,19,19,19,78,86,80,3.5,1011,19,7,334,44
2019-12-08 12:00:00,19,12,0.0,9.3,4,4,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,15,17,17,17,86,77,86,4.5,1010,17,7,337,49
2019-12-08 15:00:00,19,12,0.0,9.3,4,4,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,15,17,17,17,70,100,88,1.2,1010,17,9,321,43
2019-12-08 18:00:00,19,12,0.0,9.3,4,1,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,13,16,16,16,38,87,83,1.5,1009,16,9,271,26
2019-12-08 21:00:00,19,12,0.0,9.3,4,1,77,03:30 PM,02:34 AM,04:51 AM,07:42 PM,13,12,14,12,41,3,81,0.0,1012,12,10,263,28
2019-12-09 00:00:00,15,10,0.0,13.5,4,1,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,12,16,16,16,41,23,77,0.0,1012,16,10,264,30
2019-12-09 03:00:00,15,10,0.0,13.5,4,1,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,10,15,15,15,37,88,69,0.2,1013,15,10,245,27
2019-12-09 06:00:00,15,10,0.0,13.5,4,1,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,9,13,15,13,34,89,67,0.3,1013,15,9,236,24
2019-12-09 09:00:00,15,10,0.0,13.5,4,4,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,9,13,15,13,31,6,66,0.0,1015,15,10,245,23
2019-12-09 12:00:00,15,10,0.0,13.5,4,4,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,9,13,15,13,38,9,69,0.0,1014,15,10,248,28
2019-12-09 15:00:00,15,10,0.0,13.5,4,4,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,9,13,15,13,41,2,67,0.0,1014,15,10,238,30
2019-12-09 18:00:00,15,10,0.0,13.5,4,1,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,10,13,17,13,47,0,70,0.0,1014,13,10,233,34
2019-12-09 21:00:00,15,10,0.0,13.5,4,1,84,04:30 PM,03:01 AM,04:51 AM,07:43 PM,10,10,14,10,35,0,70,0.0,1017,10,10,132,24
2019-12-10 00:00:00,15,9,0.0,14.5,4,1,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,10,15,15,15,37,3,68,0.0,1017,15,10,115,27
2019-12-10 03:00:00,15,9,0.0,14.5,4,1,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,10,15,15,15,44,3,71,0.0,1017,15,10,123,31
2019-12-10 06:00:00,15,9,0.0,14.5,4,1,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,10,13,15,13,41,6,72,0.0,1017,15,10,135,30
2019-12-10 09:00:00,15,9,0.0,14.5,4,4,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,10,13,15,13,36,6,71,0.0,1019,15,10,140,27
2019-12-10 12:00:00,15,9,0.0,14.5,4,5,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,9,13,15,13,39,10,67,0.0,1018,15,10,146,29
2019-12-10 15:00:00,15,9,0.0,14.5,4,5,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,9,15,15,15,41,5,67,0.0,1017,15,10,180,29
2019-12-10 18:00:00,15,9,0.0,14.5,4,1,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,10,11,15,11,49,7,69,0.0,1015,11,10,203,34
2019-12-10 21:00:00,15,9,0.0,14.5,4,1,92,05:33 PM,03:30 AM,04:51 AM,07:44 PM,11,9,13,9,39,5,74,0.0,1017,9,10,195,28
2019-12-11 00:00:00,16,11,0.0,14.5,5,1,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,10,16,16,16,27,6,70,0.0,1016,16,10,177,19
2019-12-11 03:00:00,16,11,0.0,14.5,5,1,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,10,16,16,16,24,5,68,0.0,1015,16,10,171,17
2019-12-11 06:00:00,16,11,0.0,14.5,5,1,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,11,16,16,16,24,4,72,0.0,1014,16,10,130,18
2019-12-11 09:00:00,16,11,0.0,14.5,5,5,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,9,16,16,16,12,4,62,0.0,1014,16,10,176,8
2019-12-11 12:00:00,16,11,0.0,14.5,5,5,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,10,16,16,16,30,8,67,0.0,1013,16,10,230,21
2019-12-11 15:00:00,16,11,0.0,14.5,5,5,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,12,16,16,16,29,6,77,0.0,1012,16,10,208,20
2019-12-11 18:00:00,16,11,0.0,14.5,5,1,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,12,13,16,13,21,8,76,0.0,1011,13,10,206,14
2019-12-11 21:00:00,16,11,0.0,14.5,5,1,99,06:36 PM,04:02 AM,04:51 AM,07:45 PM,12,11,13,11,21,28,76,0.0,1013,11,10,156,14
2019-12-12 00:00:00,17,9,0.0,14.5,5,1,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,12,17,17,17,32,10,75,0.0,1012,17,10,149,22
2019-12-12 03:00:00,17,9,0.0,14.5,5,1,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,13,17,17,17,50,8,80,0.0,1011,17,10,134,35
2019-12-12 06:00:00,17,9,0.0,14.5,5,1,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,14,16,16,16,46,9,85,0.0,1011,16,10,130,34
2019-12-12 09:00:00,17,9,0.0,14.5,5,5,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,13,16,16,16,46,18,82,0.0,1012,16,10,136,33
2019-12-12 12:00:00,17,9,0.0,14.5,5,5,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,13,16,16,16,49,4,82,0.0,1012,16,10,137,35
2019-12-12 15:00:00,17,9,0.0,14.5,5,5,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,13,17,17,17,41,3,80,0.0,1010,17,10,139,28
2019-12-12 18:00:00,17,9,0.0,14.5,5,1,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,13,13,16,13,33,2,80,0.0,1009,13,10,143,22
2019-12-12 21:00:00,17,9,0.0,14.5,5,1,100,07:41 PM,04:40 AM,04:51 AM,07:45 PM,13,9,13,9,33,6,80,0.0,1010,9,10,135,22
2019-12-13 00:00:00,17,13,0.0,12.4,5,1,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,14,17,17,17,22,0,81,0.0,1009,17,10,150,15
2019-12-13 03:00:00,17,13,0.0,12.4,5,1,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,13,17,17,17,16,0,80,0.0,1008,17,10,195,12
2019-12-13 06:00:00,17,13,0.0,12.4,5,1,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,13,17,17,17,10,3,77,0.0,1008,17,10,234,7
2019-12-13 09:00:00,17,13,0.0,12.4,5,5,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,13,17,17,17,17,7,79,0.0,1008,17,10,301,13
2019-12-13 12:00:00,17,13,0.0,12.4,5,5,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,13,17,17,17,36,5,79,0.0,1007,17,10,319,26
2019-12-13 15:00:00,17,13,0.0,12.4,5,4,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,14,17,17,17,45,71,83,0.0,1006,17,10,323,31
2019-12-13 18:00:00,17,13,0.0,12.4,5,1,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,15,17,17,17,49,100,91,0.6,1006,17,2,329,33
2019-12-13 21:00:00,17,13,0.0,12.4,5,1,87,08:43 PM,05:26 AM,04:51 AM,07:46 PM,16,13,15,13,39,73,90,0.4,1007,13,5,281,27
2019-12-14 00:00:00,16,13,0.0,14.5,4,1,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,14,17,17,17,39,58,85,0.4,1007,17,5,263,28
2019-12-14 03:00:00,16,13,0.0,14.5,4,1,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,12,16,16,16,35,32,80,0.0,1007,16,10,251,26
2019-12-14 06:00:00,16,13,0.0,14.5,4,1,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,12,16,16,16,33,53,76,0.0,1008,16,10,262,25
2019-12-14 09:00:00,16,13,0.0,14.5,4,5,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,12,16,16,16,32,25,76,0.0,1010,16,10,273,24
2019-12-14 12:00:00,16,13,0.0,14.5,4,5,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,11,16,16,16,32,31,73,0.0,1010,16,10,278,24
2019-12-14 15:00:00,16,13,0.0,14.5,4,5,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,11,16,16,16,39,25,72,0.0,1009,16,10,285,28
2019-12-14 18:00:00,16,13,0.0,14.5,4,1,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,10,16,16,16,38,4,69,0.0,1010,16,10,284,27
2019-12-14 21:00:00,16,13,0.0,14.5,4,1,79,09:41 PM,06:19 AM,04:51 AM,07:47 PM,10,13,16,13,36,30,70,0.0,1011,13,10,287,26
2019-12-15 00:00:00,17,11,0.0,11.4,4,1,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,11,16,16,16,36,80,70,0.0,1011,16,10,291,26
2019-12-15 03:00:00,17,11,0.0,11.4,4,1,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,11,16,16,16,33,100,70,0.0,1010,16,10,291,24
2019-12-15 06:00:00,17,11,0.0,11.4,4,1,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,12,16,16,16,29,74,74,0.1,1010,16,10,304,22
2019-12-15 09:00:00,17,11,0.0,11.4,4,4,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,13,17,17,17,31,87,76,0.1,1011,17,10,320,24
2019-12-15 12:00:00,17,11,0.0,11.4,4,4,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,13,17,17,17,42,79,79,0.1,1011,17,10,315,30
2019-12-15 15:00:00,17,11,0.0,11.4,4,5,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,13,17,17,17,45,23,78,0.0,1010,17,10,323,31
2019-12-15 18:00:00,17,11,0.0,11.4,4,1,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,14,13,16,13,48,38,83,0.0,1010,13,10,335,32
2019-12-15 21:00:00,17,11,0.0,11.4,4,1,72,10:33 PM,07:20 AM,04:51 AM,07:48 PM,15,11,15,11,58,71,86,0.3,1010,11,9,332,38
2019-12-16 00:00:00,18,15,0.0,10.4,4,1,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,15,18,18,18,59,81,86,0.0,1010,18,10,322,40
2019-12-16 03:00:00,18,15,0.0,10.4,4,1,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,15,17,17,17,48,100,87,2.4,1009,17,10,298,31
2019-12-16 06:00:00,18,15,0.0,10.4,4,1,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,15,18,18,18,45,88,84,4.8,1009,18,7,323,26
2019-12-16 09:00:00,18,15,0.0,10.4,4,4,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,15,18,18,18,42,100,85,1.7,1009,18,10,356,28
2019-12-16 12:00:00,18,15,0.0,10.4,4,4,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,15,18,18,18,30,78,87,3.2,1008,18,7,325,20
2019-12-16 15:00:00,18,15,0.0,10.4,4,5,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,16,18,18,18,51,52,87,0.0,1008,18,10,13,30
2019-12-16 18:00:00,18,15,0.0,10.4,4,1,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,16,15,18,15,67,70,86,0.0,1006,15,10,2,37
2019-12-16 21:00:00,18,15,0.0,10.4,4,1,65,11:18 PM,08:27 AM,04:52 AM,07:48 PM,16,11,14,11,68,55,86,1.3,1006,11,10,20,39
2019-12-17 00:00:00,18,12,0.0,10.4,4,1,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,16,19,19,19,83,98,84,0.0,1004,19,10,7,53
2019-12-17 03:00:00,18,12,0.0,10.4,4,1,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,16,18,18,18,77,97,91,3.8,1002,18,7,5,52
2019-12-17 06:00:00,18,12,0.0,10.4,4,1,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,16,18,18,18,89,94,89,6.2,1000,18,7,15,58
2019-12-17 09:00:00,18,12,0.0,10.4,4,4,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,15,16,16,16,33,100,94,12.7,1000,16,5,350,23
2019-12-17 12:00:00,18,12,0.0,10.4,4,4,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,14,16,16,16,21,69,92,29.4,998,16,6,351,13
2019-12-17 15:00:00,18,12,0.0,10.4,4,4,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,15,17,17,17,51,77,90,7.2,996,17,7,341,33
2019-12-17 18:00:00,18,12,0.0,10.4,4,1,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,13,16,16,16,40,27,83,0.0,994,16,10,272,27
2019-12-17 21:00:00,18,12,0.0,10.4,4,1,58,11:57 PM,09:37 AM,04:52 AM,07:49 PM,14,12,14,12,28,84,84,0.1,996,12,10,325,19
2019-12-18 00:00:00,16,15,0.0,10.4,5,1,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,14,16,16,16,30,14,85,0.0,995,16,10,286,21
2019-12-18 03:00:00,16,15,0.0,10.4,5,1,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,13,16,16,16,20,89,83,3.9,995,16,7,259,12
2019-12-18 06:00:00,16,15,0.0,10.4,5,1,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,13,15,15,15,68,100,85,3.2,996,15,7,245,36
2019-12-18 09:00:00,16,15,0.0,10.4,5,4,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,12,13,15,13,52,100,82,8.9,1000,15,5,223,38
2019-12-18 12:00:00,16,15,0.0,10.4,5,4,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,11,13,15,13,50,100,76,7.4,1004,15,7,239,32
2019-12-18 15:00:00,16,15,0.0,10.4,5,4,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,10,16,16,16,73,81,71,0.2,1005,16,10,246,51
2019-12-18 18:00:00,16,15,0.0,10.4,5,1,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,10,15,15,15,77,0,71,0.0,1006,15,10,250,55
2019-12-18 21:00:00,16,15,0.0,10.4,5,1,50,No moonrise,10:47 AM,04:52 AM,07:50 PM,10,15,15,15,65,3,71,0.0,1010,15,10,243,48
2019-12-19 00:00:00,15,9,0.0,14.5,4,1,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,10,12,15,12,53,26,71,0.0,1012,15,10,247,41
2019-12-19 03:00:00,15,9,0.0,14.5,4,1,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,9,12,15,12,51,4,71,0.0,1013,15,10,253,39
2019-12-19 06:00:00,15,9,0.0,14.5,4,1,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,9,12,15,12,49,8,70,0.0,1014,15,10,262,38
2019-12-19 09:00:00,15,9,0.0,14.5,4,4,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,10,12,15,12,50,31,73,0.0,1016,15,10,273,38
2019-12-19 12:00:00,15,9,0.0,14.5,4,4,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,10,13,15,13,41,44,72,0.0,1016,15,10,279,31
2019-12-19 15:00:00,15,9,0.0,14.5,4,4,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,11,13,15,13,45,38,75,0.0,1015,15,10,305,32
2019-12-19 18:00:00,15,9,0.0,14.5,4,1,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,11,13,17,13,57,56,76,0.0,1013,13,10,312,40
2019-12-19 21:00:00,15,9,0.0,14.5,4,1,43,12:31 AM,11:57 AM,04:53 AM,07:50 PM,13,9,11,9,64,60,80,0.2,1014,9,5,320,44
2019-12-20 00:00:00,17,15,0.0,11.4,4,1,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,14,16,16,16,70,100,85,0.0,1011,16,10,318,50
2019-12-20 03:00:00,17,15,0.0,11.4,4,1,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,14,17,17,17,79,90,85,1.8,1007,17,9,316,55
2019-12-20 06:00:00,17,15,0.0,11.4,4,1,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,15,17,17,17,91,100,91,5.0,1005,17,7,321,64
2019-12-20 09:00:00,17,15,0.0,11.4,4,4,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,11,16,16,16,49,67,75,15.0,1006,16,6,249,37
2019-12-20 12:00:00,17,15,0.0,11.4,4,4,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,9,15,15,15,46,82,68,15.1,1006,15,6,249,34
2019-12-20 15:00:00,17,15,0.0,11.4,4,5,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,10,15,15,15,56,5,70,0.0,1005,15,10,264,39
2019-12-20 18:00:00,17,15,0.0,11.4,4,1,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,10,15,15,15,56,58,69,0.0,1005,15,10,248,40
2019-12-20 21:00:00,17,15,0.0,11.4,4,1,36,01:02 AM,01:07 PM,04:53 AM,07:51 PM,10,12,15,12,51,72,72,0.1,1008,15,10,248,36
2019-12-21 00:00:00,15,12,0.0,13.5,3,1,28,01:33 AM,02:16 PM,04:53 AM,07:51 PM,10,12,14,12,43,63,75,0.0,1009,14,10,130,34
