date_time,Orelia_maxtempC,Orelia_mintempC,Orelia_totalSnow_cm,Orelia_sunHour,Orelia_uvIndex,Orelia_uvIndex,Orelia_moon_illumination,Orelia_moonrise,Orelia_moonset,Orelia_sunrise,Orelia_sunset,Orelia_DewPointC,Orelia_FeelsLikeC,Orelia_HeatIndexC,Orelia_WindChillC,Orelia_WindGustKmph,Orelia_cloudcover,Orelia_humidity,Orelia_precipMM,Orelia_pressure,Orelia_tempC,Orelia_visibility,Orelia_winddirDegree,Orelia_windspeedKmph
2019-12-04 00:00:00,22,11,0.0,10.3,5,1,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,5,15,15,15,19,1,53,0.0,1016,15,10,274,9
2019-12-04 03:00:00,22,11,0.0,10.3,5,1,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,6,12,13,12,27,1,59,0.0,1016,13,10,99,13
2019-12-04 06:00:00,22,11,0.0,10.3,5,1,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,6,10,12,10,27,1,70,0.0,1017,12,10,11,13
2019-12-04 09:00:00,22,11,0.0,10.3,5,4,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,7,12,13,12,22,3,65,0.0,1018,13,10,30,14
2019-12-04 12:00:00,22,11,0.0,10.3,5,5,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,8,18,18,18,17,3,51,0.0,1018,18,10,51,13
2019-12-04 15:00:00,22,11,0.0,10.3,5,6,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,8,21,23,21,14,23,43,0.0,1016,21,10,65,12
2019-12-04 18:00:00,22,11,0.0,10.3,5,5,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,9,19,22,19,19,25,55,0.0,1016,19,10,76,11
2019-12-04 21:00:00,22,11,0.0,10.3,5,1,48,02:26 PM,01:17 AM,08:13 AM,06:38 PM,9,17,18,17,20,11,62,0.0,1017,17,10,94,10
2019-12-05 00:00:00,25,13,0.0,10.0,5,1,55,02:58 PM,02:09 AM,08:14 AM,06:38 PM,10,14,15,14,21,4,72,0.0,1017,15,10,111,10
2019-12-05 03:00:00,25,13,0.0,10.0,5,1,55,02:58 PM,02:09 AM,08:14 AM,06:38 PM,10,13,14,13,18,8,76,0.0,1016,14,10,141,9
