date_time,Otorohanga_maxtempC,Otorohanga_mintempC,Otorohanga_totalSnow_cm,Otorohanga_sunHour,Otorohanga_uvIndex,Otorohanga_uvIndex,Otorohanga_moon_illumination,Otorohanga_moonrise,Otorohanga_moonset,Otorohanga_sunrise,Otorohanga_sunset,Otorohanga_DewPointC,Otorohanga_FeelsLikeC,Otorohanga_HeatIndexC,Otorohanga_WindChillC,Otorohanga_WindGustKmph,Otorohanga_cloudcover,Otorohanga_humidity,Otorohanga_precipMM,Otorohanga_pressure,Otorohanga_tempC,Otorohanga_visibility,Otorohanga_winddirDegree,Otorohanga_windspeedKmph
2019-12-04 00:00:00,24,11,0.0,11.4,4,1,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,12,12,12,12,14,32,97,0.0,1011,12,2,327,6
2019-12-04 03:00:00,24,11,0.0,11.4,4,1,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,11,12,11,12,9,100,98,0.0,1011,11,0,345,4
2019-12-04 06:00:00,24,11,0.0,11.4,4,1,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,13,13,13,13,9,100,98,0.0,1011,13,0,15,6
2019-12-04 09:00:00,24,11,0.0,11.4,4,4,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,14,20,20,20,13,79,69,0.2,1012,20,9,320,12
2019-12-04 12:00:00,24,11,0.0,11.4,4,5,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,11,25,25,24,21,70,45,0.2,1010,24,10,301,18
2019-12-04 15:00:00,24,11,0.0,11.4,4,6,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,10,25,25,23,22,0,45,0.0,1010,23,10,285,19
2019-12-04 18:00:00,24,11,0.0,11.4,4,1,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,12,20,20,20,19,0,61,0.0,1009,20,10,283,12
2019-12-04 21:00:00,24,11,0.0,11.4,4,1,48,11:35 AM,12:42 AM,04:49 AM,07:29 PM,10,18,21,18,13,0,89,0.0,1011,18,10,269,6
2019-12-05 00:00:00,24,10,0.0,14.5,4,1,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,10,11,11,11,5,15,95,0.0,1011,11,2,275,2
2019-12-05 03:00:00,24,10,0.0,14.5,4,1,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,9,10,10,10,3,30,96,0.0,1011,10,2,69,1
2019-12-05 06:00:00,24,10,0.0,14.5,4,1,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,11,12,12,12,6,50,96,0.0,1011,12,2,65,4
2019-12-05 09:00:00,24,10,0.0,14.5,4,5,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,13,19,19,19,8,5,69,0.0,1012,19,10,355,7
2019-12-05 12:00:00,24,10,0.0,14.5,4,6,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,12,25,25,24,13,9,48,0.0,1011,24,10,302,11
2019-12-05 15:00:00,24,10,0.0,14.5,4,6,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,13,25,25,24,21,25,50,0.0,1011,24,10,271,18
2019-12-05 18:00:00,24,10,0.0,14.5,4,1,55,12:32 PM,01:11 AM,04:49 AM,07:30 PM,14,20,20,20,18,23,66,0.0,1011,20,10,266,13
