date_time,Oxford_maxtempC,Oxford_mintempC,Oxford_totalSnow_cm,Oxford_sunHour,Oxford_uvIndex,Oxford_uvIndex,Oxford_moon_illumination,Oxford_moonrise,Oxford_moonset,Oxford_sunrise,Oxford_sunset,Oxford_DewPointC,Oxford_FeelsLikeC,Oxford_HeatIndexC,Oxford_WindChillC,Oxford_WindGustKmph,Oxford_cloudcover,Oxford_humidity,Oxford_precipMM,Oxford_pressure,Oxford_tempC,Oxford_visibility,Oxford_winddirDegree,Oxford_windspeedKmph
2019-12-04 00:00:00,5,1,0.0,5.8,2,1,48,02:25 PM,No moonset,09:03 AM,04:54 PM,1,1,4,1,19,32,83,0.0,1021,4,10,181,11
2019-12-04 03:00:00,5,1,0.0,5.8,2,1,48,02:25 PM,No moonset,09:03 AM,04:54 PM,1,-1,2,-1,24,0,90,0.0,1019,2,10,173,12
2019-12-04 06:00:00,5,1,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:54 PM,0,-2,2,-2,20,2,92,0.0,1019,2,10,177,10
2019-12-04 09:00:00,5,1,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:54 PM,1,-2,2,-2,22,5,92,0.0,1019,2,10,179,12
2019-12-04 12:00:00,5,1,0.0,5.8,2,3,48,02:25 PM,No moonset,09:03 AM,04:54 PM,2,2,5,2,22,26,83,0.0,1019,5,10,210,15
2019-12-04 15:00:00,5,1,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:54 PM,3,2,5,2,24,14,88,0.0,1018,5,10,193,14
2019-12-04 18:00:00,5,1,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:54 PM,2,0,3,0,24,35,92,0.0,1020,3,10,187,12
2019-12-04 21:00:00,5,1,0.0,5.8,2,1,48,02:25 PM,No moonset,09:03 AM,04:54 PM,3,1,3,1,20,100,91,0.0,1020,1,10,204,12
2019-12-05 00:00:00,8,2,0.0,1.9,2,1,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,3,2,4,2,15,24,95,0.0,1021,4,2,231,8
2019-12-05 03:00:00,8,2,0.0,1.9,2,1,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,3,-0,3,-0,30,14,96,0.0,1018,3,10,240,14
2019-12-05 06:00:00,8,2,0.0,1.9,2,2,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,2,0,3,0,26,29,92,0.0,1019,3,10,221,12
2019-12-05 09:00:00,8,2,0.0,1.9,2,1,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,2,-0,4,-0,35,71,91,0.0,1017,4,10,210,19
2019-12-05 12:00:00,8,2,0.0,1.9,2,2,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,5,3,7,3,43,100,82,0.1,1015,7,10,218,28
2019-12-05 15:00:00,8,2,0.0,1.9,2,2,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,5,4,8,4,50,100,85,1.1,1011,8,9,221,30
2019-12-05 18:00:00,8,2,0.0,1.9,2,1,55,02:42 PM,01:00 AM,09:05 AM,04:53 PM,7,4,6,4,58,71,86,0.9,1009,4,9,213,33
