date_time,Paita_maxtempC,Paita_mintempC,Paita_totalSnow_cm,Paita_sunHour,Paita_uvIndex,Paita_uvIndex,Paita_moon_illumination,Paita_moonrise,Paita_moonset,Paita_sunrise,Paita_sunset,Paita_DewPointC,Paita_FeelsLikeC,Paita_HeatIndexC,Paita_WindChillC,Paita_WindGustKmph,Paita_cloudcover,Paita_humidity,Paita_precipMM,Paita_pressure,Paita_tempC,Paita_visibility,Paita_winddirDegree,Paita_windspeedKmph
2019-12-04 00:00:00,24,20,0.0,11.6,6,1,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,18,21,21,21,18,71,84,0.0,1013,21,10,155,13
2019-12-04 03:00:00,24,20,0.0,11.6,6,1,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,18,20,20,20,17,53,85,0.0,1012,20,10,162,11
2019-12-04 06:00:00,24,20,0.0,11.6,6,1,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,18,20,20,20,16,48,84,0.0,1012,20,10,163,11
2019-12-04 09:00:00,24,20,0.0,11.6,6,6,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,18,24,24,22,14,46,76,0.0,1013,22,10,177,11
2019-12-04 12:00:00,24,20,0.0,11.6,6,6,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,18,26,26,24,21,36,71,0.0,1012,24,10,211,18
2019-12-04 15:00:00,24,20,0.0,11.6,6,6,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,19,25,25,23,27,26,74,0.0,1010,23,10,228,23
2019-12-04 18:00:00,24,20,0.0,11.6,6,6,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,19,22,22,22,26,34,84,0.0,1011,22,10,220,19
2019-12-04 21:00:00,24,20,0.0,11.6,6,1,48,12:49 PM,12:34 AM,06:03 AM,06:26 PM,19,21,21,21,24,59,88,0.0,1013,21,10,192,17
2019-12-05 00:00:00,24,17,0.0,11.6,5,1,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,19,21,21,21,20,88,87,0.0,1013,21,10,157,14
2019-12-05 03:00:00,24,17,0.0,11.6,5,1,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,18,21,21,21,20,93,86,0.0,1013,21,10,151,14
2019-12-05 06:00:00,24,17,0.0,11.6,5,1,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,18,21,21,21,22,61,85,0.0,1013,21,10,156,16
2019-12-05 09:00:00,24,17,0.0,11.6,5,6,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,18,24,24,23,22,27,77,0.0,1015,23,10,169,17
2019-12-05 12:00:00,24,17,0.0,11.6,5,6,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,19,26,26,24,24,18,72,0.0,1013,24,10,191,21
2019-12-05 15:00:00,24,17,0.0,11.6,5,6,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,19,26,26,24,29,25,74,0.0,1011,24,10,196,25
2019-12-05 18:00:00,24,17,0.0,11.6,5,6,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,19,22,23,22,32,29,83,0.0,1012,22,10,195,24
2019-12-05 21:00:00,24,17,0.0,11.6,5,1,55,01:32 PM,01:15 AM,06:03 AM,06:27 PM,19,18,20,18,29,49,86,0.0,1015,18,10,179,20
2019-12-06 00:00:00,24,20,0.0,11.6,6,1,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,18,19,20,19,23,51,87,0.0,1015,19,10,172,16
2019-12-06 03:00:00,24,20,0.0,11.6,6,1,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,18,20,20,20,22,61,88,0.0,1014,20,10,159,15
2019-12-06 06:00:00,24,20,0.0,11.6,6,1,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,18,20,20,20,24,52,87,0.0,1015,20,10,148,17
2019-12-06 09:00:00,24,20,0.0,11.6,6,6,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,18,24,24,22,22,49,78,0.0,1015,22,10,164,17
2019-12-06 12:00:00,24,20,0.0,11.6,6,6,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,19,26,26,24,26,49,74,0.0,1013,24,10,200,22
2019-12-06 15:00:00,24,20,0.0,11.6,6,6,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,19,26,26,24,33,33,75,0.0,1011,24,10,210,28
2019-12-06 18:00:00,24,20,0.0,11.6,6,6,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,19,22,22,22,40,27,84,0.0,1012,22,10,202,28
2019-12-06 21:00:00,24,20,0.0,11.6,6,1,62,02:15 PM,01:54 AM,06:03 AM,06:27 PM,19,21,21,21,30,42,88,0.0,1014,21,10,183,20
2019-12-07 00:00:00,24,20,0.0,10.2,6,1,70,02:58 PM,02:33 AM,06:04 AM,06:28 PM,19,20,20,20,21,83,89,0.0,1015,20,10,159,14
2019-12-07 03:00:00,24,20,0.0,10.2,6,1,70,02:58 PM,02:33 AM,06:04 AM,06:28 PM,18,21,21,21,20,100,87,0.0,1013,21,10,150,14
2019-12-07 06:00:00,24,20,0.0,10.2,6,1,70,02:58 PM,02:33 AM,06:04 AM,06:28 PM,18,21,21,21,21,97,84,0.0,1014,21,10,143,15
2019-12-07 09:00:00,24,20,0.0,10.2,6,5,70,02:58 PM,02:33 AM,06:04 AM,06:28 PM,18,24,24,22,21,65,77,0.0,1015,22,10,163,17
