date_time,Palamadu_maxtempC,Palamadu_mintempC,Palamadu_totalSnow_cm,Palamadu_sunHour,Palamadu_uvIndex,Palamadu_uvIndex,Palamadu_moon_illumination,Palamadu_moonrise,Palamadu_moonset,Palamadu_sunrise,Palamadu_sunset,Palamadu_DewPointC,Palamadu_FeelsLikeC,Palamadu_HeatIndexC,Palamadu_WindChillC,Palamadu_WindGustKmph,Palamadu_cloudcover,Palamadu_humidity,Palamadu_precipMM,Palamadu_pressure,Palamadu_tempC,Palamadu_visibility,Palamadu_winddirDegree,Palamadu_windspeedKmph
2019-12-04 00:00:00,32,27,0.0,11.9,7,1,48,11:52 AM,No moonset,05:27 AM,06:07 PM,23,31,31,27,6,87,79,1.3,1009,27,9,164,4
2019-12-04 03:00:00,32,27,0.0,11.9,7,1,48,11:52 AM,No moonset,05:27 AM,06:07 PM,23,30,30,27,12,85,80,1.5,1008,27,9,138,8
2019-12-04 06:00:00,32,27,0.0,11.9,7,1,48,11:52 AM,No moonset,05:27 AM,06:07 PM,23,31,31,27,13,82,75,0.4,1009,27,9,122,9
2019-12-04 09:00:00,32,27,0.0,11.9,7,8,48,11:52 AM,No moonset,05:27 AM,06:07 PM,22,33,33,30,14,59,62,0.2,1010,30,10,86,12
2019-12-04 12:00:00,32,27,0.0,11.9,7,8,48,11:52 AM,No moonset,05:27 AM,06:07 PM,22,36,36,32,15,10,55,0.0,1009,32,10,52,13
2019-12-04 15:00:00,32,27,0.0,11.9,7,7,48,11:52 AM,No moonset,05:27 AM,06:07 PM,22,35,35,31,16,32,57,0.0,1008,31,10,61,14
2019-12-04 18:00:00,32,27,0.0,11.9,7,1,48,11:52 AM,No moonset,05:27 AM,06:07 PM,22,33,33,30,18,79,65,0.1,1009,30,10,88,15
2019-12-04 21:00:00,32,27,0.0,11.9,7,1,48,11:52 AM,No moonset,05:27 AM,06:07 PM,22,31,31,28,15,52,73,0.1,1011,28,10,113,11
2019-12-05 00:00:00,32,27,0.0,12.8,8,1,55,12:37 PM,12:28 AM,05:27 AM,06:08 PM,22,30,30,27,13,15,76,0.0,1010,27,10,134,9
2019-12-05 03:00:00,32,27,0.0,12.8,8,1,55,12:37 PM,12:28 AM,05:27 AM,06:08 PM,23,30,30,27,12,24,80,0.0,1009,27,10,138,9
2019-12-05 06:00:00,32,27,0.0,12.8,8,1,55,12:37 PM,12:28 AM,05:27 AM,06:08 PM,23,31,31,28,13,51,78,0.0,1010,28,10,137,10
2019-12-05 09:00:00,32,27,0.0,12.8,8,8,55,12:37 PM,12:28 AM,05:27 AM,06:08 PM,23,34,34,30,16,54,66,0.1,1011,30,10,98,14
2019-12-05 12:00:00,32,27,0.0,12.8,8,8,55,12:37 PM,12:28 AM,05:27 AM,06:08 PM,23,36,36,32,16,5,58,0.0,1010,32,10,67,14
2019-12-05 15:00:00,32,27,0.0,12.8,8,8,55,12:37 PM,12:28 AM,05:27 AM,06:08 PM,22,36,36,32,15,6,58,0.0,1009,32,10,67,13
