date_time,Parkes_maxtempC,Parkes_mintempC,Parkes_totalSnow_cm,Parkes_sunHour,Parkes_uvIndex,Parkes_uvIndex,Parkes_moon_illumination,Parkes_moonrise,Parkes_moonset,Parkes_sunrise,Parkes_sunset,Parkes_DewPointC,Parkes_FeelsLikeC,Parkes_HeatIndexC,Parkes_WindChillC,Parkes_WindGustKmph,Parkes_cloudcover,Parkes_humidity,Parkes_precipMM,Parkes_pressure,Parkes_tempC,Parkes_visibility,Parkes_winddirDegree,Parkes_windspeedKmph
2019-12-04 00:00:00,26,11,0.0,14.5,6,1,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,4,14,14,14,18,2,52,0.0,1011,14,10,234,8
2019-12-04 03:00:00,26,11,0.0,14.5,6,1,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,5,12,12,12,10,0,63,0.0,1011,12,10,196,5
2019-12-04 06:00:00,26,11,0.0,14.5,6,1,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,5,14,14,14,13,0,57,0.0,1013,14,10,207,10
2019-12-04 09:00:00,26,11,0.0,14.5,6,5,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,3,19,20,19,20,0,36,0.0,1013,19,10,237,18
2019-12-04 12:00:00,26,11,0.0,14.5,6,6,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,1,24,24,24,26,1,22,0.0,1012,24,10,249,23
2019-12-04 15:00:00,26,11,0.0,14.5,6,7,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,-0,24,24,26,30,1,18,0.0,1010,26,10,248,26
2019-12-04 18:00:00,26,11,0.0,14.5,6,1,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,-0,22,22,22,28,0,22,0.0,1011,22,10,243,18
2019-12-04 21:00:00,26,11,0.0,14.5,6,1,48,11:35 AM,12:24 AM,04:51 AM,07:04 PM,-0,18,18,18,18,0,29,0.0,1013,18,10,240,9
2019-12-05 00:00:00,31,14,0.0,14.5,7,1,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,0,16,16,16,10,0,35,0.0,1013,16,10,233,5
2019-12-05 03:00:00,31,14,0.0,14.5,7,1,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,1,14,14,14,6,0,39,0.0,1012,14,10,284,3
2019-12-05 06:00:00,31,14,0.0,14.5,7,1,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,1,17,17,17,8,0,33,0.0,1013,17,10,331,6
2019-12-05 09:00:00,31,14,0.0,14.5,7,6,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,2,24,24,25,18,2,23,0.0,1012,25,10,298,16
2019-12-05 12:00:00,31,14,0.0,14.5,7,7,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,1,28,28,30,30,3,15,0.0,1010,30,10,269,26
2019-12-05 15:00:00,31,14,0.0,14.5,7,8,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,-1,29,29,31,36,3,12,0.0,1008,31,10,258,31
2019-12-05 18:00:00,31,14,0.0,14.5,7,1,55,12:29 PM,12:56 AM,04:51 AM,07:05 PM,-3,29,29,29,33,2,14,0.0,1008,29,10,243,22
