date_time,Pemberton_maxtempC,Pemberton_mintempC,Pemberton_totalSnow_cm,Pemberton_sunHour,Pemberton_uvIndex,Pemberton_uvIndex,Pemberton_moon_illumination,Pemberton_moonrise,Pemberton_moonset,Pemberton_sunrise,Pemberton_sunset,Pemberton_DewPointC,Pemberton_FeelsLikeC,Pemberton_HeatIndexC,Pemberton_WindChillC,Pemberton_WindGustKmph,Pemberton_cloudcover,Pemberton_humidity,Pemberton_precipMM,Pemberton_pressure,Pemberton_tempC,Pemberton_visibility,Pemberton_winddirDegree,Pemberton_windspeedKmph
2019-12-04 00:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,3,-2,1,-2,13,100,99,7.8,1010,-1,6,194,11
2019-12-04 03:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,3,0,3,0,11,100,99,6.9,1010,3,6,204,10
2019-12-04 06:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,3,1,3,1,9,100,99,6.7,1010,3,6,215,8
2019-12-04 09:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,3,2,3,2,6,100,99,4.2,1012,3,7,260,5
2019-12-04 12:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,2,1,2,1,4,96,98,4.1,1014,2,5,233,4
2019-12-04 15:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,-1,-3,0,-3,9,86,94,1.5,1015,0,3,22,8
2019-12-04 18:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,-3,-5,-2,-5,9,85,91,1.2,1016,-2,7,28,7
2019-12-04 21:00:00,3,-6,5.8,3.2,1,1,48,02:29 PM,12:23 AM,08:53 AM,05:10 PM,-8,-6,-4,-6,9,70,89,0.0,1018,-5,10,39,6
2019-12-05 00:00:00,2,-15,0.3,6.9,2,1,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-14,-10,-8,-10,10,22,86,0.0,1018,-9,10,48,5
2019-12-05 03:00:00,2,-15,0.3,6.9,2,1,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-14,-15,-12,-15,9,13,83,0.0,1018,-12,10,52,5
2019-12-05 06:00:00,2,-15,0.3,6.9,2,2,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-8,-7,-5,-7,6,16,81,0.0,1019,-5,10,49,4
2019-12-05 09:00:00,2,-15,0.3,6.9,2,2,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-7,-4,-4,-4,4,34,80,0.0,1018,-4,10,52,3
2019-12-05 12:00:00,2,-15,0.3,6.9,2,1,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-3,-0,-0,-0,1,53,82,0.0,1018,-0,10,106,1
2019-12-05 15:00:00,2,-15,0.3,6.9,2,1,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-2,0,0,0,1,67,87,0.0,1017,0,9,187,1
2019-12-05 18:00:00,2,-15,0.3,6.9,2,1,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-4,-4,-4,-4,4,78,95,0.3,1018,-4,5,159,3
2019-12-05 21:00:00,2,-15,0.3,6.9,2,1,55,02:47 PM,01:29 AM,08:54 AM,05:09 PM,-7,-6,-6,-6,6,100,98,1.9,1018,-6,3,174,3
2019-12-06 00:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,-7,-7,-7,-7,6,100,99,3.9,1018,-7,6,174,3
2019-12-06 03:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,-4,-5,-4,-5,6,100,99,4.9,1016,-4,6,181,4
2019-12-06 06:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,3,2,3,2,5,100,99,5.7,1015,3,6,198,4
2019-12-06 09:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,4,2,4,2,6,100,99,2.2,1014,4,8,201,5
2019-12-06 12:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,4,3,4,3,7,100,100,2.6,1013,4,8,195,6
2019-12-06 15:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,2,0,2,0,10,100,100,2.1,1011,2,8,205,7
2019-12-06 18:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,-2,-5,-2,-5,17,100,99,3.4,1009,-2,7,196,8
2019-12-06 21:00:00,4,-7,0.0,3.2,1,1,62,03:05 PM,02:34 AM,08:56 AM,05:09 PM,-3,-7,-3,-7,18,100,99,4.7,1009,-3,7,198,9
