date_time,Penola_maxtempC,Penola_mintempC,Penola_totalSnow_cm,Penola_sunHour,Penola_uvIndex,Penola_uvIndex,Penola_moon_illumination,Penola_moonrise,Penola_moonset,Penola_sunrise,Penola_sunset,Penola_DewPointC,Penola_FeelsLikeC,Penola_HeatIndexC,Penola_WindChillC,Penola_WindGustKmph,Penola_cloudcover,Penola_humidity,Penola_precipMM,Penola_pressure,Penola_tempC,Penola_visibility,Penola_winddirDegree,Penola_windspeedKmph
2019-12-04 00:00:00,17,11,0.0,11.3,3,1,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,7,10,12,10,25,91,74,0.0,1013,12,10,253,17
2019-12-04 03:00:00,17,11,0.0,11.3,3,1,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,8,10,11,10,21,82,78,0.1,1012,11,10,256,14
2019-12-04 06:00:00,17,11,0.0,11.3,3,1,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,7,10,12,10,24,98,73,0.0,1014,12,10,259,17
2019-12-04 09:00:00,17,11,0.0,11.3,3,3,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,8,12,13,12,24,98,69,0.1,1014,13,10,266,18
2019-12-04 12:00:00,17,11,0.0,11.3,3,4,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,9,17,17,17,24,76,59,0.0,1014,17,10,261,21
2019-12-04 15:00:00,17,11,0.0,11.3,3,5,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,10,17,17,17,25,53,61,0.0,1013,17,10,261,22
2019-12-04 18:00:00,17,11,0.0,11.3,3,1,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,9,13,14,13,24,30,73,0.0,1013,14,10,255,17
2019-12-04 21:00:00,17,11,0.0,11.3,3,1,48,11:29 AM,12:31 AM,04:39 AM,07:15 PM,9,9,11,9,20,80,88,0.0,1013,11,10,275,12
2019-12-05 00:00:00,17,11,0.0,9.2,3,1,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,8,10,11,10,23,74,81,0.0,1011,11,10,277,16
2019-12-05 03:00:00,17,11,0.0,9.2,3,1,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,9,10,12,10,24,100,83,0.0,1010,12,10,271,17
2019-12-05 06:00:00,17,11,0.0,9.2,3,1,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,9,11,13,11,25,100,80,0.0,1011,13,10,266,18
2019-12-05 09:00:00,17,11,0.0,9.2,3,3,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,10,13,14,13,26,92,74,0.1,1011,14,10,268,19
2019-12-05 12:00:00,17,11,0.0,9.2,3,4,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,10,16,16,16,28,90,69,0.1,1011,16,10,261,22
2019-12-05 15:00:00,17,11,0.0,9.2,3,4,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,9,17,17,17,25,90,63,0.1,1011,17,10,249,22
2019-12-05 18:00:00,17,11,0.0,9.2,3,1,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,9,13,15,13,26,75,68,0.0,1012,15,10,239,18
2019-12-05 21:00:00,17,11,0.0,9.2,3,1,55,12:26 PM,01:00 AM,04:39 AM,07:15 PM,9,12,14,12,19,37,96,0.0,1013,12,2,237,9
2019-12-06 00:00:00,18,7,0.0,13.4,4,1,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,7,6,7,6,15,40,97,0.0,1013,7,2,251,7
2019-12-06 03:00:00,18,7,0.0,13.4,4,1,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,7,6,7,6,16,100,98,0.0,1012,7,0,257,8
2019-12-06 06:00:00,18,7,0.0,13.4,4,1,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,9,10,12,10,20,80,84,0.0,1014,12,10,238,15
2019-12-06 09:00:00,18,7,0.0,13.4,4,5,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,9,17,17,17,22,58,59,0.0,1014,17,10,234,19
2019-12-06 12:00:00,18,7,0.0,13.4,4,5,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,8,16,16,16,23,54,58,0.0,1015,16,10,237,20
2019-12-06 15:00:00,18,7,0.0,13.4,4,5,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,8,18,18,18,24,13,53,0.0,1015,18,10,231,21
2019-12-06 18:00:00,18,7,0.0,13.4,4,1,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,7,11,13,11,24,57,69,0.0,1017,13,10,218,17
2019-12-06 21:00:00,18,7,0.0,13.4,4,1,62,01:22 PM,01:28 AM,04:39 AM,07:16 PM,6,11,15,11,13,18,91,0.0,1018,11,10,229,6
2019-12-07 00:00:00,23,6,0.0,14.5,4,1,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,6,6,7,6,11,13,94,0.0,1018,7,2,236,5
2019-12-07 03:00:00,23,6,0.0,14.5,4,1,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,6,6,6,6,8,27,96,0.0,1017,6,2,245,4
2019-12-07 06:00:00,23,6,0.0,14.5,4,1,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,7,10,10,10,5,24,81,0.0,1018,10,10,257,4
2019-12-07 09:00:00,23,6,0.0,14.5,4,5,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,6,18,18,18,10,33,46,0.0,1018,18,10,234,9
2019-12-07 12:00:00,23,6,0.0,14.5,4,6,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,6,24,24,23,16,6,32,0.0,1017,23,10,232,14
2019-12-07 15:00:00,23,6,0.0,14.5,4,6,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,7,24,24,23,20,8,35,0.0,1017,23,10,210,18
2019-12-07 18:00:00,23,6,0.0,14.5,4,1,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,9,19,21,19,21,0,61,0.0,1018,19,10,174,14
2019-12-07 21:00:00,23,6,0.0,14.5,4,1,70,02:18 PM,01:54 AM,04:39 AM,07:17 PM,9,15,18,15,22,8,94,0.0,1020,15,2,150,11
2019-12-08 00:00:00,33,8,0.0,14.5,6,1,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,8,7,8,7,20,100,97,0.0,1018,8,0,104,10
2019-12-08 03:00:00,33,8,0.0,14.5,6,1,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,7,6,8,6,20,5,95,0.0,1017,8,2,96,9
2019-12-08 06:00:00,33,8,0.0,14.5,6,1,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,7,11,12,11,16,4,71,0.0,1018,12,10,71,10
2019-12-08 09:00:00,33,8,0.0,14.5,6,6,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,6,24,24,24,14,3,32,0.0,1017,24,10,51,12
2019-12-08 12:00:00,33,8,0.0,14.5,6,8,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,5,29,29,31,15,14,19,0.0,1015,31,10,9,13
2019-12-08 15:00:00,33,8,0.0,14.5,6,8,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,4,30,30,33,11,9,16,0.0,1013,33,10,339,9
2019-12-08 18:00:00,33,8,0.0,14.5,6,1,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,7,33,33,29,19,16,28,0.0,1012,29,10,77,9
2019-12-08 21:00:00,33,8,0.0,14.5,6,1,77,03:16 PM,02:20 AM,04:39 AM,07:18 PM,4,31,31,27,26,29,29,0.0,1013,27,10,64,13
2019-12-09 00:00:00,32,17,0.0,12.4,6,1,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,-1,23,23,24,43,30,20,0.0,1010,24,10,42,21
2019-12-09 03:00:00,32,17,0.0,12.4,6,1,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,-2,23,23,23,39,9,19,0.0,1010,23,10,26,18
2019-12-09 06:00:00,32,17,0.0,12.4,6,1,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,2,23,23,23,19,26,26,0.0,1011,23,10,5,10
2019-12-09 09:00:00,32,17,0.0,12.4,6,7,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,2,30,30,32,23,75,14,0.0,1011,32,10,326,20
2019-12-09 12:00:00,32,17,0.0,12.4,6,6,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,14,27,27,27,23,76,44,0.3,1014,27,9,229,20
2019-12-09 15:00:00,32,17,0.0,12.4,6,6,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,14,25,25,22,30,49,59,0.0,1015,22,10,240,23
2019-12-09 18:00:00,32,17,0.0,12.4,6,1,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,13,19,22,19,19,46,79,0.0,1017,19,10,198,14
2019-12-09 21:00:00,32,17,0.0,12.4,6,1,84,04:15 PM,02:47 AM,04:39 AM,07:19 PM,12,17,20,17,19,100,85,0.0,1018,17,10,189,13
2019-12-10 00:00:00,22,13,0.0,14.5,4,1,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,11,12,14,12,19,89,82,0.0,1018,14,10,192,14
2019-12-10 03:00:00,22,13,0.0,14.5,4,1,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,9,12,13,12,21,99,77,0.0,1019,13,10,188,15
2019-12-10 06:00:00,22,13,0.0,14.5,4,1,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,8,12,13,12,19,44,71,0.0,1021,13,10,178,15
2019-12-10 09:00:00,22,13,0.0,14.5,4,5,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,5,18,18,18,17,39,44,0.0,1021,18,10,171,15
2019-12-10 12:00:00,22,13,0.0,14.5,4,6,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,5,22,24,22,23,36,33,0.0,1020,22,10,183,20
2019-12-10 15:00:00,22,13,0.0,14.5,4,6,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,5,21,21,21,22,12,36,0.0,1019,21,10,182,19
2019-12-10 18:00:00,22,13,0.0,14.5,4,1,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,6,19,23,19,27,0,58,0.0,1020,19,10,174,19
2019-12-10 21:00:00,22,13,0.0,14.5,4,1,92,05:17 PM,03:18 AM,04:39 AM,07:20 PM,7,15,19,15,25,0,83,0.0,1021,15,10,157,14
2019-12-11 00:00:00,24,7,0.0,14.5,5,1,99,06:19 PM,03:52 AM,04:39 AM,07:21 PM,7,6,8,6,21,13,92,0.0,1021,8,10,154,12
