date_time,Phillip_maxtempC,Phillip_mintempC,Phillip_totalSnow_cm,Phillip_sunHour,Phillip_uvIndex,Phillip_uvIndex,Phillip_moon_illumination,Phillip_moonrise,Phillip_moonset,Phillip_sunrise,Phillip_sunset,Phillip_DewPointC,Phillip_FeelsLikeC,Phillip_HeatIndexC,Phillip_WindChillC,Phillip_WindGustKmph,Phillip_cloudcover,Phillip_humidity,Phillip_precipMM,Phillip_pressure,Phillip_tempC,Phillip_visibility,Phillip_winddirDegree,Phillip_windspeedKmph
2019-12-04 00:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-4,-6,-3,-6,22,96,87,0.0,1004,-4,10,265,12
2019-12-04 03:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-4,-6,-2,-6,18,100,91,0.0,1003,-2,10,260,10
2019-12-04 06:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-2,-5,-1,-5,17,100,94,0.1,1003,-1,8,248,10
2019-12-04 09:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-2,-4,-1,-4,18,92,92,0.1,1003,-1,7,234,11
2019-12-04 12:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-1,-2,2,-2,20,84,79,0.0,1001,2,10,252,15
2019-12-04 15:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-0,0,4,0,17,100,78,0.0,1000,4,10,246,13
2019-12-04 18:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,0,-1,2,-1,13,100,89,0.1,1000,2,8,236,8
2019-12-04 21:00:00,4,-3,0.3,3.5,1,1,48,02:02 PM,12:22 AM,08:08 AM,05:34 PM,-0,-3,0,-3,17,85,97,0.2,1001,0,5,243,9
2019-12-05 00:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-2,-5,-1,-5,23,56,93,0.3,1002,-1,5,266,12
2019-12-05 03:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-3,-6,-2,-6,25,64,91,0.2,1002,-2,7,281,12
2019-12-05 06:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-3,-6,-2,-6,24,54,89,0.0,1004,-2,10,282,12
2019-12-05 09:00:00,3,-2,0.3,7.0,1,2,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-4,-6,-1,-6,28,25,81,0.0,1008,-1,10,288,16
2019-12-05 12:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-4,-3,2,-3,31,51,67,0.0,1010,2,10,297,23
2019-12-05 15:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-3,-2,3,-2,26,72,68,0.0,1012,3,10,290,21
2019-12-05 18:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-3,-4,1,-4,25,26,76,0.0,1014,1,10,282,14
2019-12-05 21:00:00,3,-2,0.3,7.0,1,1,55,02:27 PM,01:21 AM,08:09 AM,05:34 PM,-4,-6,-2,-6,24,2,84,0.0,1018,-2,9,284,12
2019-12-06 00:00:00,6,-3,0.0,3.5,1,1,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,-5,-6,-3,-6,20,7,86,0.0,1021,-3,9,280,10
2019-12-06 03:00:00,6,-3,0.0,3.5,1,1,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,-5,-6,-3,-6,13,14,87,0.0,1021,-3,9,275,7
2019-12-06 06:00:00,6,-3,0.0,3.5,1,1,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,-5,-5,-3,-5,10,43,86,0.0,1021,-3,10,250,6
2019-12-06 09:00:00,6,-3,0.0,3.5,1,1,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,-3,-4,-1,-4,14,77,82,0.0,1021,-1,10,213,9
2019-12-06 12:00:00,6,-3,0.0,3.5,1,1,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,-1,-0,4,-0,23,65,72,0.0,1018,4,10,212,17
2019-12-06 15:00:00,6,-3,0.0,3.5,1,2,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,1,3,6,3,26,80,69,0.0,1015,6,10,221,18
2019-12-06 18:00:00,6,-3,0.0,3.5,1,2,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,2,2,6,2,27,100,79,0.0,1015,6,10,255,15
2019-12-06 21:00:00,6,-3,0.0,3.5,1,1,62,02:52 PM,02:19 AM,08:10 AM,05:34 PM,1,1,5,1,29,67,86,0.0,1019,3,10,298,17
2019-12-07 00:00:00,1,-4,0.0,8.7,2,1,70,03:16 PM,03:18 AM,08:11 AM,05:34 PM,-4,-2,2,-2,26,4,80,0.0,1022,-0,10,336,15
2019-12-07 03:00:00,1,-4,0.0,8.7,2,1,70,03:16 PM,03:18 AM,08:11 AM,05:34 PM,-5,-7,-3,-7,21,13,83,0.0,1024,-3,10,329,12
2019-12-07 06:00:00,1,-4,0.0,8.7,2,1,70,03:16 PM,03:18 AM,08:11 AM,05:34 PM,-6,-7,-4,-7,15,16,82,0.0,1026,-4,10,311,9
2019-12-07 09:00:00,1,-4,0.0,8.7,2,2,70,03:16 PM,03:18 AM,08:11 AM,05:34 PM,-7,-7,-3,-7,16,12,74,0.0,1028,-3,10,308,10
2019-12-07 12:00:00,1,-4,0.0,8.7,2,2,70,03:16 PM,03:18 AM,08:11 AM,05:34 PM,-8,-4,-0,-4,17,5,57,0.0,1029,-0,10,318,14
