date_time,Picton_maxtempC,Picton_mintempC,Picton_totalSnow_cm,Picton_sunHour,Picton_uvIndex,Picton_uvIndex,Picton_moon_illumination,Picton_moonrise,Picton_moonset,Picton_sunrise,Picton_sunset,Picton_DewPointC,Picton_FeelsLikeC,Picton_HeatIndexC,Picton_WindChillC,Picton_WindGustKmph,Picton_cloudcover,Picton_humidity,Picton_precipMM,Picton_pressure,Picton_tempC,Picton_visibility,Picton_winddirDegree,Picton_windspeedKmph
2019-12-04 00:00:00,30,16,0.0,14.2,7,1,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,9,19,20,19,9,0,54,0.0,1008,19,10,256,7
2019-12-04 03:00:00,30,16,0.0,14.2,7,1,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,9,16,16,16,8,0,61,0.0,1008,16,10,251,7
2019-12-04 06:00:00,30,16,0.0,14.2,7,1,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,8,19,19,19,9,0,51,0.0,1009,19,10,271,8
2019-12-04 09:00:00,30,16,0.0,14.2,7,6,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,4,24,24,25,12,1,29,0.0,1009,25,10,267,10
2019-12-04 12:00:00,30,16,0.0,14.2,7,7,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,1,27,27,29,18,1,16,0.0,1008,29,10,248,15
2019-12-04 15:00:00,30,16,0.0,14.2,7,8,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,4,28,28,30,14,0,19,0.0,1007,30,10,230,12
2019-12-04 18:00:00,30,16,0.0,14.2,7,1,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,10,29,29,29,12,4,48,0.0,1009,29,10,141,8
2019-12-04 21:00:00,30,16,0.0,14.2,7,1,48,11:23 AM,12:16 AM,04:39 AM,06:57 PM,14,29,29,25,7,2,71,0.0,1011,25,10,213,5
2019-12-05 00:00:00,33,15,0.0,14.2,7,1,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,11,19,21,19,6,0,64,0.0,1011,19,10,263,4
2019-12-05 03:00:00,33,15,0.0,14.2,7,1,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,6,16,16,16,9,1,51,0.0,1010,16,10,269,6
2019-12-05 06:00:00,33,15,0.0,14.2,7,1,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,4,19,21,19,10,3,37,0.0,1010,19,10,288,8
2019-12-05 09:00:00,33,15,0.0,14.2,7,7,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,3,27,27,27,14,5,22,0.0,1009,27,10,283,12
2019-12-05 12:00:00,33,15,0.0,14.2,7,8,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,1,30,30,32,22,14,14,0.0,1007,32,10,269,19
2019-12-05 15:00:00,33,15,0.0,14.2,7,8,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,0,31,31,33,25,7,13,0.0,1005,33,10,268,22
2019-12-05 18:00:00,33,15,0.0,14.2,7,1,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,-0,31,31,30,23,9,16,0.0,1005,30,10,268,14
2019-12-05 21:00:00,33,15,0.0,14.2,7,1,55,12:18 PM,12:47 AM,04:38 AM,06:57 PM,2,28,28,26,16,15,29,0.0,1007,26,10,234,8
2019-12-06 00:00:00,32,15,0.0,13.4,7,1,62,01:13 PM,01:16 AM,04:38 AM,06:58 PM,5,19,20,19,9,60,45,0.0,1007,19,10,188,4
2019-12-06 03:00:00,32,15,0.0,13.4,7,1,62,01:13 PM,01:16 AM,04:38 AM,06:58 PM,8,15,15,15,4,49,61,0.0,1007,15,10,159,2
2019-12-06 06:00:00,32,15,0.0,13.4,7,1,62,01:13 PM,01:16 AM,04:38 AM,06:58 PM,11,20,21,20,3,15,55,0.0,1008,20,10,54,2
2019-12-06 09:00:00,32,15,0.0,13.4,7,7,62,01:13 PM,01:16 AM,04:38 AM,06:58 PM,7,27,27,28,7,68,30,0.0,1007,28,10,194,6
2019-12-06 12:00:00,32,15,0.0,13.4,7,7,62,01:13 PM,01:16 AM,04:38 AM,06:58 PM,1,29,29,31,18,55,15,0.0,1006,31,10,266,15
