date_time,Poindimie_maxtempC,Poindimie_mintempC,Poindimie_totalSnow_cm,Poindimie_sunHour,Poindimie_uvIndex,Poindimie_uvIndex,Poindimie_moon_illumination,Poindimie_moonrise,Poindimie_moonset,Poindimie_sunrise,Poindimie_sunset,Poindimie_DewPointC,Poindimie_FeelsLikeC,Poindimie_HeatIndexC,Poindimie_WindChillC,Poindimie_WindGustKmph,Poindimie_cloudcover,Poindimie_humidity,Poindimie_precipMM,Poindimie_pressure,Poindimie_tempC,Poindimie_visibility,Poindimie_winddirDegree,Poindimie_windspeedKmph
2019-12-04 00:00:00,25,21,0.0,12.0,5,1,48,11:38 AM,No moonset,05:09 AM,06:28 PM,20,25,25,23,13,82,84,0.1,1013,23,10,101,9
2019-12-04 03:00:00,25,21,0.0,12.0,5,1,48,11:38 AM,No moonset,05:09 AM,06:28 PM,20,25,25,22,13,74,86,0.3,1012,22,9,111,8
2019-12-04 06:00:00,25,21,0.0,12.0,5,1,48,11:38 AM,No moonset,05:09 AM,06:28 PM,19,25,25,22,14,75,81,0.4,1012,22,9,110,9
2019-12-04 09:00:00,25,21,0.0,12.0,5,5,48,11:38 AM,No moonset,05:09 AM,06:28 PM,18,26,26,24,16,83,68,0.3,1013,24,9,92,12
2019-12-04 12:00:00,25,21,0.0,12.0,5,7,48,11:38 AM,No moonset,05:09 AM,06:28 PM,17,27,27,25,16,60,62,0.2,1013,25,10,82,12
2019-12-04 15:00:00,25,21,0.0,12.0,5,7,48,11:38 AM,No moonset,05:09 AM,06:28 PM,17,26,26,25,13,22,60,0.0,1011,25,10,70,9
2019-12-04 18:00:00,25,21,0.0,12.0,5,1,48,11:38 AM,No moonset,05:09 AM,06:28 PM,17,26,26,25,9,40,62,0.0,1012,25,10,71,6
2019-12-04 21:00:00,25,21,0.0,12.0,5,1,48,11:38 AM,No moonset,05:09 AM,06:28 PM,18,26,26,25,8,53,69,0.0,1013,25,10,102,5
2019-12-05 00:00:00,26,20,0.0,13.2,7,1,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,19,26,26,24,9,59,74,0.1,1013,24,10,107,6
2019-12-05 03:00:00,26,20,0.0,13.2,7,1,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,18,25,25,22,11,16,78,0.0,1011,22,10,132,6
2019-12-05 06:00:00,26,20,0.0,13.2,7,1,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,17,25,25,22,12,12,74,0.0,1012,22,10,146,7
2019-12-05 09:00:00,26,20,0.0,13.2,7,7,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,18,26,26,25,14,9,64,0.0,1013,25,10,118,11
2019-12-05 12:00:00,26,20,0.0,13.2,7,6,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,18,27,27,26,19,29,63,0.0,1012,26,10,86,15
2019-12-05 15:00:00,26,20,0.0,13.2,7,6,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,18,26,26,25,15,61,64,0.0,1011,25,10,83,10
2019-12-05 18:00:00,26,20,0.0,13.2,7,1,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,19,26,26,23,13,57,71,0.1,1012,23,10,102,9
2019-12-05 21:00:00,26,20,0.0,13.2,7,1,55,12:27 PM,12:34 AM,05:09 AM,06:29 PM,20,21,25,21,15,72,77,0.0,1013,21,10,115,11
2019-12-06 00:00:00,27,22,0.0,13.2,6,1,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,20,21,24,21,18,80,82,0.2,1012,21,10,126,13
2019-12-06 03:00:00,27,22,0.0,13.2,6,1,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,20,25,25,23,21,72,86,0.7,1011,23,9,125,13
2019-12-06 06:00:00,27,22,0.0,13.2,6,1,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,20,25,25,23,21,60,83,0.8,1012,23,10,118,14
2019-12-06 09:00:00,27,22,0.0,13.2,6,6,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,20,28,28,26,21,76,70,0.2,1013,26,9,105,18
2019-12-06 12:00:00,27,22,0.0,13.2,6,7,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,20,29,29,27,21,58,65,0.1,1012,27,10,95,18
2019-12-06 15:00:00,27,22,0.0,13.2,6,7,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,20,29,29,27,19,14,68,0.0,1011,27,10,95,16
2019-12-06 18:00:00,27,22,0.0,13.2,6,1,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,21,27,27,25,18,38,77,0.0,1012,25,10,112,15
2019-12-06 21:00:00,27,22,0.0,13.2,6,1,62,01:16 PM,01:09 AM,05:09 AM,06:30 PM,21,26,26,24,18,61,84,0.0,1013,24,10,121,15
2019-12-07 00:00:00,28,23,0.0,13.2,7,1,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,21,26,26,24,18,56,88,0.0,1013,24,10,129,13
2019-12-07 03:00:00,28,23,0.0,13.2,7,1,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,21,25,25,23,17,56,90,0.0,1012,23,10,141,11
2019-12-07 06:00:00,28,23,0.0,13.2,7,1,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,21,26,26,24,16,62,85,0.0,1012,24,10,137,12
2019-12-07 09:00:00,28,23,0.0,13.2,7,7,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,22,29,29,27,17,51,73,0.1,1013,27,10,113,15
2019-12-07 12:00:00,28,23,0.0,13.2,7,7,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,22,30,30,28,18,20,70,0.0,1013,28,10,90,15
2019-12-07 15:00:00,28,23,0.0,13.2,7,7,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,21,29,29,27,14,4,70,0.0,1012,27,10,80,12
2019-12-07 18:00:00,28,23,0.0,13.2,7,1,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,22,29,29,26,10,9,77,0.0,1013,26,10,94,8
2019-12-07 21:00:00,28,23,0.0,13.2,7,1,70,02:04 PM,01:42 AM,05:09 AM,06:30 PM,23,28,28,25,8,18,87,0.0,1014,25,10,115,6
2019-12-08 00:00:00,28,23,0.0,9.5,6,1,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,23,27,27,25,10,41,89,0.0,1014,25,10,127,7
2019-12-08 03:00:00,28,23,0.0,9.5,6,1,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,22,26,26,24,12,63,89,0.0,1013,24,10,132,8
2019-12-08 06:00:00,28,23,0.0,9.5,6,1,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,21,27,27,24,13,42,85,0.0,1014,24,10,131,9
2019-12-08 09:00:00,28,23,0.0,9.5,6,6,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,22,29,29,27,12,65,73,0.1,1015,27,10,115,10
2019-12-08 12:00:00,28,23,0.0,9.5,6,6,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,22,30,30,28,15,76,71,1.5,1015,28,9,97,12
2019-12-08 15:00:00,28,23,0.0,9.5,6,6,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,22,31,31,28,18,80,72,5.8,1014,28,6,74,10
2019-12-08 18:00:00,28,23,0.0,9.5,6,1,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,23,30,30,27,14,77,78,8.3,1015,27,4,67,7
2019-12-08 21:00:00,28,23,0.0,9.5,6,1,77,02:54 PM,02:16 AM,05:10 AM,06:31 PM,23,29,29,26,11,83,84,6.3,1016,26,6,62,6
2019-12-09 00:00:00,27,25,0.0,8.3,6,1,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,28,28,26,11,87,85,6.6,1016,26,5,77,5
2019-12-09 03:00:00,27,25,0.0,8.3,6,1,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,28,28,25,10,80,86,2.0,1014,25,10,118,6
2019-12-09 06:00:00,27,25,0.0,8.3,6,1,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,28,28,25,14,82,86,1.4,1015,25,10,117,9
2019-12-09 09:00:00,27,25,0.0,8.3,6,6,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,22,29,29,26,15,77,80,0.3,1016,26,10,102,12
2019-12-09 12:00:00,27,25,0.0,8.3,6,6,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,30,30,27,18,74,78,1.0,1016,27,9,102,13
2019-12-09 15:00:00,27,25,0.0,8.3,6,6,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,30,30,27,21,76,78,3.1,1014,27,7,111,13
2019-12-09 18:00:00,27,25,0.0,8.3,6,1,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,29,29,26,22,85,82,2.1,1014,26,8,110,13
2019-12-09 21:00:00,27,25,0.0,8.3,6,1,84,03:46 PM,02:51 AM,05:10 AM,06:32 PM,23,27,27,25,17,76,88,0.2,1016,25,9,114,13
2019-12-10 00:00:00,25,23,0.0,13.2,5,1,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,23,27,27,24,18,70,90,0.1,1015,24,10,117,14
2019-12-10 03:00:00,25,23,0.0,13.2,5,1,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,22,26,26,24,20,76,90,0.3,1014,24,10,117,15
2019-12-10 06:00:00,25,23,0.0,13.2,5,1,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,21,25,25,23,22,66,87,0.1,1014,23,10,111,15
2019-12-10 09:00:00,25,23,0.0,13.2,5,5,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,20,26,26,24,21,57,80,0.2,1015,24,10,104,15
2019-12-10 12:00:00,25,23,0.0,13.2,5,6,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,20,26,26,25,19,36,75,0.2,1013,25,10,92,14
2019-12-10 15:00:00,25,23,0.0,13.2,5,6,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,19,27,27,25,17,8,72,0.0,1012,25,10,80,12
2019-12-10 18:00:00,25,23,0.0,13.2,5,1,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,20,26,26,24,20,35,77,0.0,1012,24,10,100,14
2019-12-10 21:00:00,25,23,0.0,13.2,5,1,92,04:39 PM,03:29 AM,05:10 AM,06:32 PM,20,26,26,24,21,73,83,0.3,1014,24,10,113,17
2019-12-11 00:00:00,25,21,0.0,13.2,5,1,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,19,25,25,23,19,72,83,0.4,1013,23,9,119,15
2019-12-11 03:00:00,25,21,0.0,13.2,5,1,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,18,21,23,21,15,70,82,0.1,1012,21,10,125,12
2019-12-11 06:00:00,25,21,0.0,13.2,5,1,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,17,22,22,22,13,73,77,0.1,1012,22,10,131,10
2019-12-11 09:00:00,25,21,0.0,13.2,5,6,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,17,25,25,24,11,28,65,0.0,1013,24,10,118,9
2019-12-11 12:00:00,25,21,0.0,13.2,5,7,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,17,26,26,25,13,1,59,0.0,1012,25,10,82,11
2019-12-11 15:00:00,25,21,0.0,13.2,5,6,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,17,26,26,25,14,13,62,0.0,1011,25,10,72,12
2019-12-11 18:00:00,25,21,0.0,13.2,5,1,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,17,26,26,24,14,51,65,0.0,1011,24,10,92,12
2019-12-11 21:00:00,25,21,0.0,13.2,5,1,99,05:35 PM,04:09 AM,05:10 AM,06:33 PM,17,25,25,23,14,81,69,0.0,1013,23,10,103,12
2019-12-12 00:00:00,24,17,0.0,10.8,5,1,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,18,25,25,23,15,69,73,0.1,1012,23,10,101,12
2019-12-12 03:00:00,24,17,0.0,10.8,5,1,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,18,22,25,22,17,78,78,0.6,1011,22,10,95,13
2019-12-12 06:00:00,24,17,0.0,10.8,5,1,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,17,22,25,22,15,74,75,0.8,1012,22,10,98,11
2019-12-12 09:00:00,24,17,0.0,10.8,5,5,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,17,25,25,23,14,72,67,0.4,1013,23,10,96,12
2019-12-12 12:00:00,24,17,0.0,10.8,5,6,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,17,26,26,24,14,65,62,0.3,1012,24,9,79,12
2019-12-12 15:00:00,24,17,0.0,10.8,5,6,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,16,26,26,24,12,44,62,0.0,1010,24,10,74,10
2019-12-12 18:00:00,24,17,0.0,10.8,5,1,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,17,24,24,23,10,59,64,0.0,1011,23,10,84,8
2019-12-12 21:00:00,24,17,0.0,10.8,5,1,100,06:33 PM,04:55 AM,05:11 AM,06:33 PM,18,19,22,19,12,74,70,0.2,1013,19,10,92,10
2019-12-13 00:00:00,25,23,0.0,9.5,5,1,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,19,21,19,14,71,78,0.6,1012,19,10,100,11
2019-12-13 03:00:00,25,23,0.0,9.5,5,1,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,25,25,23,15,64,80,1.3,1011,23,10,98,11
2019-12-13 06:00:00,25,23,0.0,9.5,5,1,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,25,25,23,17,81,79,1.8,1012,23,10,92,12
2019-12-13 09:00:00,25,23,0.0,9.5,5,5,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,26,26,24,22,89,76,0.9,1013,24,10,89,15
2019-12-13 12:00:00,25,23,0.0,9.5,5,5,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,26,26,24,21,81,72,0.1,1012,24,10,84,15
2019-12-13 15:00:00,25,23,0.0,9.5,5,5,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,26,26,25,15,66,69,0.3,1011,25,10,82,13
2019-12-13 18:00:00,25,23,0.0,9.5,5,1,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,19,26,26,24,15,59,71,0.0,1011,24,10,91,12
2019-12-13 21:00:00,25,23,0.0,9.5,5,1,87,07:32 PM,05:46 AM,05:11 AM,06:34 PM,18,25,25,23,14,49,73,0.0,1013,23,10,96,11
2019-12-14 00:00:00,26,22,0.0,13.2,5,1,79,08:30 PM,06:41 AM,05:11 AM,06:35 PM,18,25,25,23,14,50,76,0.1,1012,23,10,100,10
2019-12-14 03:00:00,26,22,0.0,13.2,5,1,79,08:30 PM,06:41 AM,05:11 AM,06:35 PM,18,22,25,22,15,42,77,0.1,1011,22,10,103,10
2019-12-14 06:00:00,26,22,0.0,13.2,5,1,79,08:30 PM,06:41 AM,05:11 AM,06:35 PM,18,25,25,22,15,41,75,0.0,1012,22,10,108,10
2019-12-14 09:00:00,26,22,0.0,13.2,5,5,79,08:30 PM,06:41 AM,05:11 AM,06:35 PM,18,26,26,24,15,73,69,0.1,1012,24,10,102,13
2019-12-14 12:00:00,26,22,0.0,13.2,5,7,79,08:30 PM,06:41 AM,05:11 AM,06:35 PM,18,26,26,25,17,56,63,0.1,1011,25,9,93,15
2019-12-14 15:00:00,26,22,0.0,13.2,5,7,79,08:30 PM,06:41 AM,05:11 AM,06:35 PM,17,27,27,26,15,5,61,0.0,1010,26,10,89,13
